url,headline,date,body,snippet,headline_word_count,body_word_count
https://www.crikey.com.au/2019/10/10/green-light-medicinal-cannabis/,Shining a light on black market medical marijuana,,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au Crikey speaks to the makers of Green Light, a new documentary about the black-market entrepreneurs serving the massive demand for medicinal marijuana in Australia. Amber Schultz Oct 10, 2019  3 It’s rare that entrepreneurs implore governments to put them out of business by flooding the market — but that’s exactly what the duo behind a black market medicinal cannabis company want. A new Australian documentary, Green Light, follows two men running an underground medicinal marijuana ring as they prescribe and administer cannabinoids to patients who struggle to access it legally. Treating everything from a face tumour the size of a saucer, to a bump on a horse’s nose, the duo have tens of thousands of patients across the country. It’s a documentary deliberately light on evidence but heavy on testimonies, using patients’ stories to tug on heartstrings and raising questions about medicinal cannabis legislation. Become a subscriber to get full access to the website, as well as our premium newsletters. Amber Schultz Associate Editor @AmberMaySchultz Amber Schultz covered health and social affairs for Crikey. In 2022 she was awarded a Young Walkley Award for her on-the-ground coverage of the Ukrainian refugee crisis, and has been shortlisted for four other Young Walkleys. In 2021 she was awarded the 2021 Mumbrella Young Writer of the Year for her coverage of sexual violence, and in 2018 completed the Jacoby-Walkley scholarship. She holds master's degrees in journalism and international relations. 
								The Crikey comment section is members-only content. Please login to engage in the commentary.
							 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved. Contact us on: support@crikey.com.au","Oct 10, 2019 ... A new documentary, Green Light, unveils the black-market entrepreneurs serving the massive demand for medicinal marijuana in Australia.",8,369
https://www.crikey.com.au/2023/01/25/legalising-cannabis-benefits-medicinal/,"Cannabis: you feel better, you can sleep, and it raises taxes",,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au Legalising the herb would be good for the public, good for police and bad for lawyers, say Crikey readers. (But it's not for everyone.) Crikey Jan 25, 2023  43 Colby Hanks: As a long-time beneficiary of medicinal cannabis, I very much support its use (“Australians still waiting for grass to grow for medicinal cannabis use”). The current schedule is too narrow in scope and most GPs have little interest in prescribing it. Legalising it for recreational use would not only introduce a host of laws regarding quality, but it would also bring in untold taxation benefits — and all at the expense of organised crime!   When the health deficits of cannabis are less than either alcohol or tobacco, what’s not to like? Daniel Phelan writes: I have had chronic pain for some 15 years, which has badly affected sleep. I have had a hip transplant, sacroiliac nerves burnt out, psoas tendon treated and many sleeping tables, opioids, etc, taken — all unsatisfactory. Over the past three years, small amounts of medicinal THC cannabis taken at bedtime give me a good night’s sleep. Become a subscriber to get full access to the website, as well as our premium newsletters. Crikey Publication Crikey is Australia's leading independent source of news, investigations,  analysis and opinion. 
								The Crikey comment section is members-only content. Please login to engage in the commentary.
							 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved. Contact us on: support@crikey.com.au","Jan 25, 2023 ... Legalising cannabis would be good for the public, good for police and bad ... Colby Hanks: As a long-time beneficiary of medicinal cannabis, ...",11,345
https://www.crikey.com.au/2017/06/14/greens-one-nation-united-medicinal-cannabis/,One Nation turns Green and Lambie a bit hazy in medical cannabis debate,,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au An unusual alliance of senators including the Greens and One Nation teamed up against the government to allow fast-tracked access to medicinal cannabis. Josh Taylor Jun 14, 2017  3 A group of unlikely allies teamed up in the Senate on Tuesday to fast-track access to medicinal cannabis for people suffering from terminal illnesses. Last month, a Greens/Labor-backed motion failed in the Senate that would have fast-tracked access to medicinal cannabis for people with terminal illnesses by allowing doctors to simply notify — rather than ask the permission of — the Therapeutic Goods Administration when they intend to treat a patient with a terminal illness using medicinal cannabis. The Senate vote was tied after Pauline Hanson’s One Nation voted with the government and the Nick Xenophon Team to block it, while Jacqui Lambie was absent from the chamber for the vote. A letter from Health Minister Greg Hunt to the Nick Xenophon Team tabled in Parliament at the time showed Hunt was lobbying the crossbench for their support, playing up their protectionist tendencies, claiming that the motion would disadvantage local suppliers because it would require them to go through the longer registration process — meaning those who were terminally ill would simply import their medicinal cannabis. Hunt also went on Sky News to claim that such a proposal was “irresponsible, ill-thought through and utterly dangerous” because it would lead to “bricks of hashish to come through our airports”. Become a subscriber to get full access to the website, as well as our premium newsletters. Josh Taylor Journalist @joshgnosis Josh is Crikey’s general reporter covering politics, immigration, technology, the environment and, well, just about everything. Josh joined Crikey in 2015 after being lured away from his role as an award-winning technology journalist for ZDNet. 
								The Crikey comment section is members-only content. Please login to engage in the commentary.
							 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved. Contact us on: support@crikey.com.au","Jun 14, 2017 ... ... alliance of senators including Greens, One Nation teamed up against the government to allow fast-tracked access to medicinal cannabis.",13,425
https://www.crikey.com.au/topic/medicinal-cannabis/,Topic: Medicinal cannabis,,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au Health Crikey Jan 25, 2023  43 Health Mitchell Squire Jan 24, 2023  10 Your Say Crikey Jan 23, 2023  11 Politics Anton Nilsson Jan 19, 2023  7 Health Amber Schultz Aug 19, 2020  11 Crikey Worm Chris Woods Jun 02, 2020 Health Amber Schultz Oct 10, 2019  3 South Australia Bension Siebert Sep 06, 2019  3 Federal Josh Taylor Jun 14, 2017  3 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved.","One Nation turns Green and Lambie a bit hazy in medical cannabis debate · Federal · Josh Taylor. Jun 14, 2017. 3. There are 9 articles in Medicinal cannabis.",3,178
https://www.crikey.com.au/2019/09/06/former-top-bureaucrat-knows-commercial-secrets/,Former top bureaucrat ‘knows our commercial secrets’,,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au A recently dismissed SA Trade Department executive, now working for a local medicinal cannabis company, had access to secret information on its competitors, one of them has warned. Bension Siebert Sep 06, 2019  3 A recently dismissed SA Trade Department executive, now working for a local medicinal cannabis company, had access to secret information on its competitors, one of them has warned. Martyn England led the Office of Industrial Hemp and Medicinal Cannabis from its inception in April 2017 — among other roles at the Department of Trade, Tourism and Investment — until he was made redundant in July this year. England was recently appointed executive manager of regulatory affairs for medicinal cannabis company LeafCann, which is setting up operations in South Australia. Become a subscriber to get full access to the website, as well as our premium newsletters. 
								The Crikey comment section is members-only content. Please login to engage in the commentary.
							 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved. Contact us on: support@crikey.com.au","Sep 6, 2019 ... A recently dismissed SA Trade Department executive, now working for a local medicinal cannabis company, had access to secret information on ...",7,272
https://www.crikey.com.au/2020/08/19/cannabis-use-during-lockdown/,Cannabis use soars during pandemic,,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au Most people use marijuana to manage pain — and boredom. Now, as lockdown drags, medicinal cannabis approvals have reached new highs. Amber Schultz Aug 19, 2020  11 Cannabis is the COVID-19 drug of choice in Australia after alcohol. Self-reported usage rates have soared and medicinal cannabis approvals are at record rates, increasing by almost 40% since telehealth was implemented in April.  Australians are turning to marijuana during the pandemic for prescribed medication, self-medication, and as an alternative to other substances.  In July last year the Therapeutic Goods Administration (TGA) approved 2207 medicinal cannabis applications. By July this year that had shot up to 5564 — a 60% increase.  Become a subscriber to get full access to the website, as well as our premium newsletters. Amber Schultz Associate Editor @AmberMaySchultz Amber Schultz covered health and social affairs for Crikey. In 2022 she was awarded a Young Walkley Award for her on-the-ground coverage of the Ukrainian refugee crisis, and has been shortlisted for four other Young Walkleys. In 2021 she was awarded the 2021 Mumbrella Young Writer of the Year for her coverage of sexual violence, and in 2018 completed the Jacoby-Walkley scholarship. She holds master's degrees in journalism and international relations. 
								The Crikey comment section is members-only content. Please login to engage in the commentary.
							 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved. Contact us on: support@crikey.com.au","Aug 19, 2020 ... During the COVID-19 lockdown, Australians are using more cannabis as medicinal cannabis approvals have reached new highs.",5,333
https://www.crikey.com.au/2023/01/24/cannabis-australians-medicinal-use/,Australians still waiting for grass to grow for medicinal cannabis use,,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au Despite the prehistoric plant being allowed to be prescribed for medical use in 2016, its use as medicine has been disappointingly limited.  Mitchell Squire Jan 24, 2023  10 Australia is likely to see the decriminalisation and retail of cannabis well before its widespread medical use. Since it was downscheduled in 2016 by the Therapeutic Goods Administration to allow it to be prescribed by any doctor in Australia, its uptake as medicine has been limited. That is disappointing since the anti-inflammatory and psychotropic effects of cannabis — and the ubiquity of inflammation and stress as determinants of disease — make it a potentially useful drug for many common health conditions.  The major cannabinoids (active ingredients) of the cannabis flower are cannabidiol (CBD) and tetrahydrocannabinol (THC). When consumed by humans, THC and CBD activate cannabinoid receptors CB1 and CB2 — these propagate and modify activity in the central nervous system, the immune and other organ systems. Any molecule, not exclusive to the cannabis plant, that activates these receptors can be described as a cannabinoid — they can be found in other familiar products like black pepper and chocolate. Become a subscriber to get full access to the website, as well as our premium newsletters. Mitchell Squire Contributor Mitchell Squire is a GP and a visual satirist for Crikey. 
								The Crikey comment section is members-only content. Please login to engage in the commentary.
							 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved. Contact us on: support@crikey.com.au","Jan 24, 2023 ... Australians still waiting for grass to grow for medicinal cannabis use. Despite the prehistoric plant being allowed to be prescribed for medical ...",11,349
https://www.crikey.com.au/2023/01/23/cannabis-reform-high-five/,Cannabis reform gets a high five: it stymies crims and treats Australians like adults,,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au No argument from Crikey readers over decriminalising marijuana — it's a no-brainer, says one, and will 'get rid of the dealers and scum'.  Crikey Jan 23, 2023  11 Tim Stephens writes: We need Gough Whitlam back to do what he did with brewing one’s own beer at home (“Is NSW ready for cannabis reform? Weed activists prepare for the election”). Before he acted, it was illegal to brew beer at home even for your own consumption. Since legalisation, brewing has developed into a magic little industry of its own. Society hasn’t collapsed and commercial breweries still exist. Of course cannabis should be decriminalised! What is the coherent argument against me in my own backyard growing a plant or two and doing what I do with my home (craft?) brew? That is, sitting quietly and contemplating the madness of the world with some synaptic enhancement. Get rid of the dealers and scum, for sure. There is no profit for them if all it takes is a pot (pardon the pun), some water and sunshine. Become a subscriber to get full access to the website, as well as our premium newsletters. Crikey Publication Crikey is Australia's leading independent source of news, investigations,  analysis and opinion. 
								The Crikey comment section is members-only content. Please login to engage in the commentary.
							 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved. Contact us on: support@crikey.com.au","Jan 23, 2023 ... Cannabis reform gets no argument from Crikey readers — it's a no-brainer, says one, and will 'get rid of the dealers and scum'.",14,336
https://www.crikey.com.au/2023/01/19/cannabis-reform-nsw-election/,Is NSW ready for cannabis reform? Weed activists prepare for the election,,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au The Legalise Cannabis Party will seek to recreate the high from the party's success in Victoria's election when NSW goes to the polls in March.  Anton Nilsson Jan 19, 2023  7 Cannabis enthusiasts are preparing to mount a campaign for the NSW Parliament, hoping to recreate the high from the recent Victorian state election where weed reformers captured two upper house seats.  The Legalise Cannabis Party will announce several candidates for the NSW election next month, hoping to target select regional lower house seats held by conservatives from both the Coalition and Labor, party chairman Craig Ellis told Crikey. “It’s going to be a quite high-profile campaign,” Ellis said. “The general public knows it’s time that NSW and Australia just get on with it and regulate and legalise cannabis.” Become a subscriber to get full access to the website, as well as our premium newsletters. Anton Nilsson Politics Reporter @antonknilsson Anton Nilsson is Crikey's federal political reporter. He previously covered NSW Parliament for NCA NewsWire, and before that, worked for Sweden's Expressen newspaper as well as other publications in Sweden, Australia and the United States. 
								The Crikey comment section is members-only content. Please login to engage in the commentary.
							 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved. Contact us on: support@crikey.com.au","Jan 19, 2023 ... medicinal cannabis (Image: Unsplash/Rick Proctor). Cannabis enthusiasts are preparing to mount a campaign for the NSW Parliament, hoping to ...",12,318
https://www.crikey.com.au/2017/05/18/senate-crushing-hopes-derryn-hinch/,Hinch’s Senate Diary: how Pauline Hanson scuppered a medical marijuana motion,,"12 weeks of Crikey for $12 To connect a sign in method the email must match the one on your Crikey account. 
Email Address

 
Password

  Remember Me 


 Contact us on: support@crikey.com.au Last-minute campaigning stopped a much-needed drug passing through Parliament. Derryn Hinch May 18, 2017  4 Senator Pauline Hanson didn’t appear on Sunrise on Monday for our weekly Channel Seven breakfast TV stoush. She was replaced by Senator Jacqui Lambie. No disrespect for Lambie, but I was disappointed. I had a doozy of a “please explain” for Senator Hanson, which had prompted this tweet: Betrayal. Pauline Hansen trying to spin way out of no vote to cut red tape for medicinal cannabis. They betrayed sick kids and terminally ill.” Become a subscriber to get full access to the website, as well as our premium newsletters. Derryn Hinch  Senator 
								The Crikey comment section is members-only content. Please login to engage in the commentary.
							 Crikey is an independent Australian source for news, investigations, analysis and opinion focusing on politics, media, economics, health, international affairs, the climate, business, society and culture. We are guided by a deceptively simple, old idea: tell the truth and shame the devil.  Crikey acknowledges the Traditional Owners of the many nations across Australia, and pay our respect to Elders past and present. We recognise that their sovereignty has never been ceded. Copyright © 2023 Private Media Pty Ltd. Publishers of Crikey. All Rights Reserved. Contact us on: support@crikey.com.au","May 18, 2017 ... How some last-minute campaigning stopped medical cannabis passing through the Senate, Senator Derryn Hinch explains how it all unfolded.",11,240
