headline,preprocessed_headline,date_std,source
Medicinal cannabis: Does it work and what's the evidence for different conditions?,"['Medicinal', 'cannabis', ':', 'Does', 'work', ""'s"", 'evidence', 'different', 'condition', '?']",2019-02-19,headline
"Medicinal cannabis is legal in Australia, but people like Grace are still turning to the black market","['Medicinal', 'cannabis', 'legal', 'Australia', ',', 'people', 'like', 'Grace', 'still', 'turning', 'black', 'market']",2020-07-01,headline
Medicinal cannabis clinics' quality of care can be pot luck,"['Medicinal', 'cannabis', 'clinic', ""'"", 'quality', 'care', 'pot', 'luck']",2022-10-07,headline
Medicinal cannabis being used by tens of thousands of Australians as access becomes easier,"['Medicinal', 'cannabis', 'used', 'ten', 'thousand', 'Australians', 'access', 'becomes', 'easier']",2022-03-11,headline
Mysterious pink glow over town confirmed as medicinal cannabis facility lighting,"['Mysterious', 'pink', 'glow', 'town', 'confirmed', 'medicinal', 'cannabis', 'facility', 'lighting']",2022-07-19,headline
Desperate patients turn to black market for medicinal cannabis despite spike in legal prescriptions,"['Desperate', 'patient', 'turn', 'black', 'market', 'medicinal', 'cannabis', 'despite', 'spike', 'legal', 'prescription']",2019-02-22,headline
Calls to exclude medicinal cannabis users from new SA drug-driving rules,"['Calls', 'exclude', 'medicinal', 'cannabis', 'user', 'new', 'SA', 'drug-driving', 'rule']",2023-02-13,headline
"Medicinal cannabis regulation costing patients $600 a month, forcing some to turn to the black market","['Medicinal', 'cannabis', 'regulation', 'costing', 'patient', '$', '600', 'month', ',', 'forcing', 'turn', 'black', 'market']",2020-02-19,headline
"Driving under the influence of medical cannabis is illegal, but patients are still taking the risk","['Driving', 'influence', 'medical', 'cannabis', 'illegal', ',', 'patient', 'still', 'taking', 'risk']",2019-09-28,headline
Is getting quality care at medicinal cannabis clinics just pot luck?,"['Is', 'getting', 'quality', 'care', 'medicinal', 'cannabis', 'clinic', 'pot', 'luck', '?']",2022-10-08,headline
Patients ask 60 per cent of GPs about medicinal cannabis,"['Patients', 'ask', '60', 'per', 'cent', 'GPs', 'medicinal', 'cannabis']",2018-07-03,headline
WA home to one of the largest medicinal cannabis crops in the southern hemisphere,"['WA', 'home', 'one', 'largest', 'medicinal', 'cannabis', 'crop', 'southern', 'hemisphere']",2021-02-16,headline
"WA parliamentary committee pushes for medicinal cannabis, drug driving reforms","['WA', 'parliamentary', 'committee', 'push', 'medicinal', 'cannabis', ',', 'drug', 'driving', 'reform']",2023-04-12,headline
"Medicinal cannabis driving inquiry hears measuring impairment is key, as NSW law change considered","['Medicinal', 'cannabis', 'driving', 'inquiry', 'hears', 'measuring', 'impairment', 'key', ',', 'NSW', 'law', 'change', 'considered']",2022-06-16,headline
"Australian Cannabis Nurses Association launches to educate, advocate for medicinal cannabis","['Australian', 'Cannabis', 'Nurses', 'Association', 'launch', 'educate', ',', 'advocate', 'medicinal', 'cannabis']",2023-02-20,headline
Medicinal cannabis company to build one of the world's largest production facilities in regional Victoria,"['Medicinal', 'cannabis', 'company', 'build', 'one', 'world', ""'s"", 'largest', 'production', 'facility', 'regional', 'Victoria']",2019-08-21,headline
"Queensland's medicinal cannabis advocates plea for compassion, access to drug","['Queensland', ""'s"", 'medicinal', 'cannabis', 'advocate', 'plea', 'compassion', ',', 'access', 'drug']",2017-01-09,headline
"These people face excruciating pain daily, but medicinal cannabis makes life bearable","['These', 'people', 'face', 'excruciating', 'pain', 'daily', ',', 'medicinal', 'cannabis', 'make', 'life', 'bearable']",2019-02-18,headline
Why can Queenslanders with medicinal cannabis prescriptions be charged for drug possession?,"['Why', 'Queenslanders', 'medicinal', 'cannabis', 'prescription', 'charged', 'drug', 'possession', '?']",2022-10-06,headline
Elderly people breaking the law to use medicinal cannabis for the aches and pains of ageing,"['Elderly', 'people', 'breaking', 'law', 'use', 'medicinal', 'cannabis', 'ache', 'pain', 'ageing']",2019-03-08,headline
"Tasmanian GPs will soon be able to prescribe medicinal cannabis, but fast access is still a while away","['Tasmanian', 'GPs', 'soon', 'able', 'prescribe', 'medicinal', 'cannabis', ',', 'fast', 'access', 'still', 'away']",2021-03-17,headline
Critics say medicinal cannabis regulation is failing patients,"['Critics', 'say', 'medicinal', 'cannabis', 'regulation', 'failing', 'patient']",2019-03-04,headline
