snippet_std,preprocessed_snippet,date_std,source
Thousands of Australians are now using medicinal cannabis to treat conditions like chronic pain and anorexia Yesterday the ABC revealed,"['Thousands', 'Australians', 'using', 'medicinal', 'cannabis', 'treat', 'condition', 'like', 'chronic', 'pain', 'anorexia', 'Yesterday', 'ABC', 'revealed']",2019-02-19,snippet
A bottle of CBD oil in front of a backdrop of cannabis plants Grace looked at getting medicinal cannabis through a doctor but in the end she,"['A', 'bottle', 'CBD', 'oil', 'front', 'backdrop', 'cannabis', 'plant', 'Grace', 'looked', 'getting', 'medicinal', 'cannabis', 'doctor', 'end']",2020-07-01,snippet
Like more than 100000 Australians Jordan turned to medicinal cannabis When he was prescribed more than he needed alarm bells rang,"['Like', '100000', 'Australians', 'Jordan', 'turned', 'medicinal', 'cannabis', 'When', 'prescribed', 'needed', 'alarm', 'bell', 'rang']",2022-10-07,snippet
Medicinal cannabis prescriptions more than doubled in Australia in the last 12 months So what s behind the skyrocketing demand and how,"['Medicinal', 'cannabis', 'prescription', 'doubled', 'Australia', 'last', '12', 'month', 'So', 'behind', 'skyrocketing', 'demand']",2022-03-11,snippet
An eerie pink light rippled across the cloudy night sky in Mildura on Tuesday night stoking speculation it was a portal to the time space,"['An', 'eerie', 'pink', 'light', 'rippled', 'across', 'cloudy', 'night', 'sky', 'Mildura', 'Tuesday', 'night', 'stoking', 'speculation', 'portal', 'time', 'space']",2022-07-19,snippet
A father says the day he watched his infant daughter suffer a violent two and a half hour seizure was when he decided breaking the law was a,"['A', 'father', 'say', 'day', 'watched', 'infant', 'daughter', 'suffer', 'violent', 'two', 'half', 'hour', 'seizure', 'decided', 'breaking', 'law']",2019-02-22,snippet
Concerns have been raised for thousands of South Australians using medicinal cannabis as strict new road laws which could see them stripped,"['Concerns', 'raised', 'thousand', 'South', 'Australians', 'using', 'medicinal', 'cannabis', 'strict', 'new', 'road', 'law', 'could', 'see', 'stripped']",2023-02-13,snippet
It has been legal for doctors to prescribe medical cannabis since 2016 but patients say the process is time consuming and expensive,"['It', 'legal', 'doctor', 'prescribe', 'medical', 'cannabis', 'since', '2016', 'patient', 'say', 'process', 'time', 'consuming', 'expensive']",2020-02-19,snippet
Driving with any THC in your blood system is a criminal offence in Australia Standard medical advice for medical marijuana patients is to wait,"['Driving', 'THC', 'blood', 'system', 'criminal', 'offence', 'Australia', 'Standard', 'medical', 'advice', 'medical', 'marijuana', 'patient', 'wait']",2019-09-28,snippet
When Jordan wanted to treat his insomnia he turned to an experimental therapy medicinal cannabis,"['When', 'Jordan', 'wanted', 'treat', 'insomnia', 'turned', 'experimental', 'therapy', 'medicinal', 'cannabis']",2022-10-08,snippet
Almost two thirds of Australian GPs have had patients ask about medicinal cannabis but research reveals most doctors feel their knowledge,"['Almost', 'two', 'third', 'Australian', 'GPs', 'patient', 'ask', 'medicinal', 'cannabis', 'research', 'reveals', 'doctor', 'feel', 'knowledge']",2018-07-03,snippet
An Australian company will cultivate and process medicinal cannabis in the Gascoyne region ABC Wide Bay Kallee Buchanan,"['An', 'Australian', 'company', 'cultivate', 'process', 'medicinal', 'cannabis', 'Gascoyne', 'region', 'ABC', 'Wide', 'Bay', 'Kallee', 'Buchanan']",2021-02-16,snippet
6 days ago Rows of healthy marijuana plants The report says there is no correlation between medicinal cannabis and driving impairment ABC News Kallee,"['6', 'day', 'ago', 'Rows', 'healthy', 'marijuana', 'plant', 'The', 'report', 'say', 'correlation', 'medicinal', 'cannabis', 'driving', 'impairment', 'ABC', 'News', 'Kallee']",2023-04-12,snippet
Medicinal cannabis has been legal since 2016 NSW drivers can still be charged if the drug is in their system An parliamentary inquiry is,"['Medicinal', 'cannabis', 'legal', 'since', '2016', 'NSW', 'driver', 'still', 'charged', 'drug', 'system', 'An', 'parliamentary', 'inquiry']",2022-06-16,snippet
Co founder Simone O Brien says the organisation is needed to provide medicinal cannabis education advocacy and peer support after years of,"['Co', 'founder', 'Simone', 'O', 'Brien', 'say', 'organisation', 'needed', 'provide', 'medicinal', 'cannabis', 'education', 'advocacy', 'peer', 'support', 'year']",2023-02-20,snippet
The scientific evidence on the benefits of using medicinal cannabis is mixed Australian company Cannatrek has been given the final green light,"['The', 'scientific', 'evidence', 'benefit', 'using', 'medicinal', 'cannabis', 'mixed', 'Australian', 'company', 'Cannatrek', 'given', 'final', 'green', 'light']",2019-08-21,snippet
Medicinal cannabis advocates are pleading for compassion and urging Australian authorities to legalise the drug to help ease the pain and,"['Medicinal', 'cannabis', 'advocate', 'pleading', 'compassion', 'urging', 'Australian', 'authority', 'legalise', 'drug', 'help', 'ease', 'pain']",2017-01-09,snippet
Christian Read is one of thousands of Australians now taking medicinal cannabis and he insists while it cannot cure him of the pain he,"['Christian', 'Read', 'one', 'thousand', 'Australians', 'taking', 'medicinal', 'cannabis', 'insists', 'cure', 'pain']",2019-02-18,snippet
A Queensland woman who faced court on drug charges despite having a prescription for medicinal cannabis wants other unsuspecting users to be,"['A', 'Queensland', 'woman', 'faced', 'court', 'drug', 'charge', 'despite', 'prescription', 'medicinal', 'cannabis', 'want', 'unsuspecting', 'user']",2022-10-06,snippet
A growing number of senior Australians are buying homemade medicinal cannabis products for pain relief despite it being early days in,"['A', 'growing', 'number', 'senior', 'Australians', 'buying', 'homemade', 'medicinal', 'cannabis', 'product', 'pain', 'relief', 'despite', 'early', 'day']",2019-03-08,snippet
Tasmania is currently the only jurisdiction in Australia where GPs can not prescribe medicinal cannabis to patients That is about to change,"['Tasmania', 'currently', 'jurisdiction', 'Australia', 'GPs', 'prescribe', 'medicinal', 'cannabis', 'patient', 'That', 'change']",2021-03-17,snippet
Medicinal cannabis has been legal in Australia for three years but patients say access still isn t guaranteed despite changes to the law,"['Medicinal', 'cannabis', 'legal', 'Australia', 'three', 'year', 'patient', 'say', 'access', 'still', 'guaranteed', 'despite', 'change', 'law']",2019-03-04,snippet
Cost doctors knowledge stigma and drug driving laws are barriers to accessing the drug,"['Cost', 'doctor', 'knowledge', 'stigma', 'drug', 'driving', 'law', 'barrier', 'accessing', 'drug']",2020-01-15,snippet
We are seeing a growing number of people easily obtaining their medicinal cannabis from online suppliers with limited medical consultations and,"['We', 'seeing', 'growing', 'number', 'people', 'easily', 'obtaining', 'medicinal', 'cannabis', 'online', 'supplier', 'limited', 'medical', 'consultation']",2022-11-16,snippet
Wendy s been on every medication that is possible for her she s trialled everything so this medical marijuana is probably the last resort,"['Wendy', 'every', 'medication', 'possible', 'trialled', 'everything', 'medical', 'marijuana', 'probably', 'last', 'resort']",2018-02-17,snippet
In a secret location near Swan Hill an organic trial crop of medicinal cannabis has been growing out in the paddock in full daylight,"['In', 'secret', 'location', 'near', 'Swan', 'Hill', 'organic', 'trial', 'crop', 'medicinal', 'cannabis', 'growing', 'paddock', 'full', 'daylight']",2020-07-14,snippet
Product bottle and labels of MediCabilis CBD oil The study will use a baseline dose that uses the non psychoactive part of medicinal cannabis,"['Product', 'bottle', 'label', 'MediCabilis', 'CBD', 'oil', 'The', 'study', 'use', 'baseline', 'dose', 'us', 'non', 'psychoactive', 'part', 'medicinal', 'cannabis']",2019-06-11,snippet
The man behind the push to legalise cannabis use for the terminally ill in NSW Dan Haslam dies,"['The', 'man', 'behind', 'push', 'legalise', 'cannabis', 'use', 'terminally', 'ill', 'NSW', 'Dan', 'Haslam', 'dy']",2015-02-24,snippet
Patients in New South Wales will be able to get hold of medicinal cannabis within days of a doctor prescribing it but critics say many,"['Patients', 'New', 'South', 'Wales', 'able', 'get', 'hold', 'medicinal', 'cannabis', 'within', 'day', 'doctor', 'prescribing', 'critic', 'say', 'many']",2018-03-02,snippet
