url,headline,date,body,snippet,headline_word_count,body_word_count
https://www1.racgp.org.au/ajgp/2021/june/a-primer-on-medicinal-cannabis-safety-and-potentia,  A primer on medicinal cannabis safety and potential adverse effects,,,Medicinal cannabis is generally well tolerated when dosed appropriately. It is important for doctors to consider carefully the Δ9-tetrahydrocannabinol (THC) and ...,10,0
https://www1.racgp.org.au/ajgp/2021/june/medicinal-cannabis-use-in-palliative-care,  Medicinal cannabis use in palliative care,,,"The two most prevalent, and best understood, cannabinoids in the plant are THC and CBD. Most currently available medicinal cannabis products in Australia ...",6,0
https://www1.racgp.org.au/newsgp/clinical/large-jump-in-medicinal-cannabis-use,"
    Large jump in medicinal cannabis use
",,,"Aug 25, 2022 ... The survey also showed that 67% of users only used illicit cannabis, pointing to the fact most cannabis use for medical conditions is illicit.",6,0
https://www1.racgp.org.au/ajgp/2021/october/medicinal-cannabis,  Medicinal cannabis in the treatment of chronic pain ,,,Therapeutic actions of these medicinal cannabis products primarily arise from the cannabinoids Δ9-tetrahydrocannabinol (THC; the main intoxicating component of ...,8,0
https://www1.racgp.org.au/ajgp/2022/august/medicinal-cannabis,  Medicinal cannabis for the treatment of anxiety disorders,,,Background. Anxiety is second most common reason for medicinal cannabis prescription in Australia and is being treated with both Δ9-tetrahydrocannabinol (THC)- ...,8,0
https://www.racgp.org.au/advocacy/position-statements/view-all-position-statements/clinical-and-practice-management/medical-cannabis,Use of medicinal cannabis products,,"The Royal Australian College of General Practitioners (RACGP) highlights the need for further high-quality research into the safety and effectiveness of medicinal cannabis products, as the current evidence is limited and inconclusive. The current available evidence does, however, suggest a possible role for medicinal cannabis products in a number of areas. Therefore, if after conventional, evidence-based treatments have failed, and the specialist general practitioner (GP) feels that medicinal cannabis products are a viable treatment option for their patients, they should, as other specialists can, be able to prescribe appropriate medicinal cannabis products in accordance with the current regulatory framework. The February 2016 amendments1 to the Narcotic Drugs Act 1967 2 allowed the supply of medicinal cannabis products for the management of patients with certain medical conditions. The amendments allow the supply of pharmaceutical, nonsmokeable, medicinal-grade products. They do not include the provision of medicinal-grade herbal cannabis products and do not relate to the decriminalisation of cannabis for general cultivation or recreational use. However, only one such product is currently registered in Australia. Therefore, most pharmaceutical grade medicinal cannabis products that are available overseas are not registered medicines in Australia, and approval from federal and/or state and territory authorities is required through the Therapeutic Goods Administration’s (TGA’s) Special Access Scheme or Authorised Prescriber Scheme. The RACGP has further developed a position statement on The regulatory framework for medicinal use of cannabis products. GPs are faced with the pressing need to help patients who are unable to manage chronic and debilitating conditions using conventional, evidence-based treatments. Given the significant media and political coverage on medicinal cannabis products, GPs may experience greater patient demand to prescribe these products. However, as with all clinical decisions, GPs need to balance patient initiated demands for treatment and the clinician’s therapeutic responsibility, while considering federal and state or territory legislative requirements before considering the prescription of medicinal cannabis products. Refer to Appendix 1. Medicinal cannabis products checklist for more information. This position statement does not recommend nor encourage the use of medicinal cannabis products; however, it recognises that as specialists, GPs may offer to prescribe medicinal cannabis products to a very limited number of patients with specific conditions in consultation with them and their care team. Importantly, medicinal cannabis products should only be considered when all first-line, conventional, evidence-based treatment options have been exhausted, and after detailed discussions of the potential benefits and harms of medicinal cannabis products with the patient. The RACGP has always been a strong advocate for evidence-based medicine, and as the evidence around the efficacy and effectiveness of medicinal cannabis products evolve, this position statement will be reviewed to reflect the emerging evidence. Cannabis is a complex plant comprising more than 500 constituents, including approximately 100 cannabinoids.3 The main active ingredients used for medical purposes are tetrahydrocannabinol (THC) and cannabidiol (CBD). THC is the psychoactive part of cannabis that produces a ‘high’, and has been used to treat symptoms such as nausea, pain and muscle spasticity. CBD has no psychoactive properties, and has been used to treat several inflammatory disorders and epilepsy. Only pharmaceutical, non-smokeable, medicinal-grade products (listed in point one below) can now be supplied lawfully in Australia but medicinal cannabis products can come in three main forms: Currently, the only medicinal cannabis product registered for use in Australia is Nabiximols for the management of spasticity in patients with multiple sclerosis; however, this is not listed on the Pharmaceutical Benefits Scheme (PBS). The cost of accessing medicinal cannabis products varies depending on the type and dose required, and the patient is responsible for all costs associated with this access. In several states and territories, patients may be eligible for medicinal cannabis products compassionate use schemes. At present, the evidence base for the use of medicinal cannabis products is limited. The current evidence base for the use of medicinal cannabis products is heterogeneous, comprising a small number of randomised clinical trials when stratified by condition, symptom or intervention type. These studies are of variable quality, including those with high risk of bias (eg incomplete outcome data), low statistical power, and short follow-up time. Recent reviews and analyses indicate there may be some therapeutic benefits of medicinal cannabis products in certain conditions;4,5,6 however, further research on the treatment efficacy and longer term side effects are warranted. Currently, most research and evidence on medicinal cannabis products have come from five clinical conditions – multiple sclerosis, palliative care, epilepsy, nausea and vomiting, and chronic non-cancer pain (refer to Table 1. Summary of evidence on medicinal cannabis products for more information). Numbers needed to treat and numbers needed to harm are included where possible. Around half the studies in a recent systematic reviews found that medicinal cannabis products may be effective for pain, spasticity, sleep and bladder function; the others were inconclusive.7 A number of studies have found low evidence for the use of medicinal cannabis products for the treatment of paediatric epilepsy, and for patients up to aged 25 years, especially when first-line treatments (ie anti-epileptic drugs) have been found to be ineffective.8 The numbers needed to treat are as follows: The numbers needed to harm for any adverse event was 3, and serious adverse event was 23. The use of medicinal cannabis products in palliative care is currently unclear.9  A small number of studies have found relief of nausea and vomiting in patients with cancer who are undergoing chemotherapy; however, the evidence is lacking and some were compared with now out-of-date practices. There is some evidence available for the treatment of neuropathic pain using medicinal cannabis products; however, the magnitude of effect is small.10 One systematic review found that the numbers needed to treat was 22 for a 30% reduction and 26 for a 50% reduction in self-reported pain intensity.5  Condition  Products  Quality of evidence12  Multiple sclerosis7 Pain Dronabinol , THC extracts Low to high and inconsistent Disability and progression None Spasticity Nabiximols and THC:CBD Low and inconsistent Bladder function None Ataxia and tremor None Sleep None Quality of life Nabiximols and THC:CBD Low and inconsistent Epilepsy8 Reduce by >50% and/or eliminate seizures CBD with anti-epileptic drugs Low to very low Oral cannabis extracts Very low CBD:THC Very low Cannabis sativa  Very low Quality of life CBD Low Oral cannabis extracts Very low CBD:THC Very low Cannabis sativa  Very low THC Very low Palliative care9 AIDS Dronabinol Unclear Cannabis sativa Unclear Alzheimer’s disease Dronabinol Unclear Cancer symptom control Dronabinol, THC:CBD, THC Unclear, maybe against Cannabis sativa  Unclear Nabilone Unclear Nausea and vomiting Dronabinol Low to moderate Nabilone Very low to moderate THC Low, insufficient evidence Levonantradol Low to moderate THC:CBD Insufficient evidence Cannabis sativa extract Unclear Nabiximols Insufficient evidence Chronic non-cancer pain10  Nabiximols Moderate to high Dronabinol Low to moderate Nabilone Very low Cannabis sativa Very low THC extract Moderate THC:CBD extract Low to moderate Ajulemic acid Very low CBD, cannabidiol; THC, tetrahydrocannabinol Adapted with permission from Therapeutic Goods Administration. Guidance for the use of medicinal cannabis in Australia: Patient information. Canberra: TGA, 2017. A 2015 systematic review did not find any studies that evaluated the long-term side effects of using medicinal cannabis products.5 However, medicinal cannabis products were found to increase the risk of short-term adverse effects such as disorientation, dizziness, euphoria, confusion, among others (refer to Table 2. Adverse effects of medicinal cannabis products for a full list). Side effects from medicinal cannabis products generally depend on the amount of THC in the product. Recommendations from the Therapeutic Goods Administration (TGA) also highlight that THC is not appropriate for:13 Medicinal cannabis products are generally believed to have low acute toxicity; however, its concurrent use with other drugs may mask adverse effects such as cardiovascular effects, and mortality may be under-recognised.15 Adverse effect  Odds ratio*  Disorientation 5.41 Dizziness 5.09 Euphoria 4.08 Confusion 4.03 Drowsiness 3.68 Dry mouth 3.50 Somnolence 2.83 Balance 2.62 Hallucination 2.19 Nausea 2.08 Paranoia 2.05 Asthenia 2.03 Fatigue 2.00 Anxiety 1.98 Vomiting 1.67 Diarrhoea 1.65 Depression 1.32 Psychosis 1.09 *The odds ratio is a measure of the increased (or decreased) chance of an event occurring compared to a placebo The RACGP recognises that while there are significant community and political interests in the medicinal use of cannabis products for therapy, the safety and effectiveness profiles of medicinal cannabis products are currently incomplete. The RACGP therefore highlights the need for further high-quality research into the safety and effectiveness on the use of medicinal cannabis products in Australia. There is also a need to ensure that education for the general public and medical practitioners is available. This education should reflect the current state of knowledge and contextualise the use of medical cannabis products as a last-resort medication for specific categories of illness that should only be prescribed in rare circumstances after stringent legislative criteria are satisfied.","Herbal cannabis on the illegal market: Potentially unstable THC and CBD, and may contain adulterants. Currently, the only medicinal cannabis product registered ...",5,1453
https://www1.racgp.org.au/newsgp/clinical/doctors-know-little-about-medicinal-cannabis-resea,"
     Doctors in the dark about medicinal cannabis: Research
",,,"May 7, 2019 ... Health professionals support the use of medicinal cannabis, but generally feel they lack knowledge on the topic, a new Australian-led review ...",8,0
https://www1.racgp.org.au/getattachment/ced787ac-a592-42ef-897b-075c478fdbca/A-primer-on-medicinal-cannabis-safety-and-potentia.aspx,,,,Medicinal cannabis is generally well tolerated when dosed appropriately. It is important for doctors to consider carefully the ∆9-tetrahydrocannabinol. (THC) ...,0,0
https://www1.racgp.org.au/newsgp/clinical/should-medicinal-cannabis-be-used-to-treat-chronic,"
    Should medicinal cannabis be used to treat chronic pain?
",,,"Mar 26, 2021 ... Medicinal cannabis crop. There are no published randomised controlled trials of CBD-only products for chronic pain of any type.",9,0
https://www1.racgp.org.au/ajgp/2021/june/medical-cannabis-and-driving,  Medical cannabis and driving,,,"With the exception of the oral THC/CBD spray nabiximols (Sativex) and the CBD oil Epidyolex, medical cannabis products in Australia are all unregistered ...",4,0
