url,headline,date,body,snippet,headline_word_count,body_word_count
https://www.sydney.edu.au/lambert/medicinal-cannabis/history-of-cannabis.html,"
History of cannabis
",,,Cannabis use has a long history - it has been used to treat a vast array of medical and health problems. Learn more about uses of medicinal marijuana ...,3,0
https://www.sydney.edu.au/news-opinion/news/2019/03/27/can-medicinal-cannabis-treat-the-tics-in-tourette-syndrome-.html,"
Can medicinal cannabis treat the tics in Tourette syndrome?
",,,"Mar 27, 2019 ... First Australian medicinal cannabis trial for the treatment of severe Tourette syndrome supported by the Lambert Initiative at University of ...",9,0
https://www.sydney.edu.au/lambert/how-to-get-medicinal-cannabis/what-products-are-available.html,"

    
    
    
    
    
    What medicinal cannabis products are available?




",,,"Medicinal cannabis products can be: · Isolate: isolated cannabinoids, only THC or only CBD · Full-spectrum: products containing a range of the constituents of the ...",6,0
https://www.sydney.edu.au/news-opinion/news/2022/08/24/legal-use-of-medicinal-cannabis-on-the-rise-.html,"
Legal use of medicinal cannabis on the rise 
",,,"6 hours ago ... New research from the University of Sydney's Lambert Initiative finds most Australians are still medicating with illicit cannabis, ...",8,0
https://www.sydney.edu.au/lambert/how-to-get-medicinal-cannabis.html,"
How to get medicinal cannabis
",,,Any medical doctor can prescribe medicinal cannabis in Australia with the approval from the Therapeutic Goods Administration (TGA) and the relevant State or ...,5,0
https://www.sydney.edu.au/lambert/medicinal-cannabis.html,"
Medicinal cannabis
",,,"Learn about medicinal cannabis and cannabinoid therapeutics, and how the Lambert Initiative is unlocking the medical and health benefits of cannabis.",2,0
https://www.sydney.edu.au/news-opinion/news/2020/11/10/has-legalising-medicinal-cannabis-made-a-difference.html,"
Has legalising medicinal cannabis made a difference?
",,,"Nov 10, 2020 ... The University of Sydney is launching CAMS20 - an online survey of Australian medicinal cannabis use over the past 12 months.",7,0
https://www.sydney.edu.au/news-opinion/news/2022/05/10/why-australians-take-medicinal-cannabis-.html,"
First comprehensive study reveals why Australians take medicinal cannabis
",,,"May 10, 2022 ... Of the 248,000 scripts approved for Australians since the inception of the national medicinal cannabis scheme in 2016, many related to ...",9,0
https://www.sydney.edu.au/news-opinion/news/2020/04/22/survey-shows-australians-using-cannabis-to-treat-bowel-disease.html,"
Survey shows use of medicinal cannabis for inflammatory bowel disease
",,,"Apr 22, 2020 ... A quarter of Australians with inflammatory bowel disease report medicinal cannabis eases their symptoms, according to a new survey from the ...",10,0
https://www.sydney.edu.au/news-opinion/news/2016/03/29/legalising-medicinal-cannabis-would-create--100-million-industry.html,"
Legalising medicinal cannabis would create $100 million industry
",,,"Mar 29, 2016 ... Analysis from the University of Sydney Business School has found that legalising medicinal cannabis in Australia could create a new industry ...",8,0
https://www.sydney.edu.au/news-opinion/news/2023/01/30/trial-uses-cannabis-for-spinal-cord-injury-pain.html,"
New trial uses cannabis for spinal cord injury induced chronic pain
",,,"Jan 30, 2023 ... It can also help to inform and ultimately change policy surrounding the prescription of medicinal cannabis for the treatment of neuropathic ...",11,0
https://www.sydney.edu.au/news-opinion/news/2017/10/24/why-so-few-australians-are-using-medicinal-cannabis-on-prescription.html,"
Why so few Australians are using medicinal cannabis on prescription
",,,"Oct 24, 2017 ... What are the difficulties of using medicinal cannabis in Australia? Professor Iain McGregor from the University's Lambert Initiative ...",10,0
https://www.sydney.edu.au/lambert/how-to-get-medicinal-cannabis/resources-for-medical-doctors.html,"

    
    
    Resources for Medical Doctors


",,,"A collection of guides, articles, videos, podcasts and other resources to help doctors better understand medicinal cannabis and the prescription process.",4,0
https://www.sydney.edu.au/news-opinion/news/2018/08/14/cannabis-as-medicine-survey-published.html,"

    
    
    Illicit cannabis used for pain, mental health, sleep conditions


",,,"Aug 14, 2018 ... Australians who used illicit cannabis for medical reasons did so mainly to treat chronic pain, mental health, sleep and neurological ...",9,0
https://www.sydney.edu.au/news-opinion/news/2019/12/12/barry-and-joy-lambert-recognised-as-medicinal-cannabis-pioneers.html,"
Barry and Joy Lambert recognised as medicinal cannabis pioneers 
",,,"Dec 12, 2019 ... Philanthropists Barry and Joy Lambert have been recognised with Honorary Fellowships by the University of Sydney for their pioneering ...",9,0
https://www.sydney.edu.au/lambert/medicinal-cannabis/phytocannabinoids.html,"
Phytocannabinoids
",,,Phytocannabinoids are cannabinoids derived from the cannabis plant. Their potential can be harnessed through medicinal cannabis research. Find out more.,1,0
https://www.sydney.edu.au/news-opinion/news/2020/06/17/how-australians-use-medicinal-cannabis-illegal-survey.html,"
How Australians use medical cannabis since legislation: new survey
",,,"Jun 17, 2020 ... Australians report using medicinal cannabis for chronic pain, mental health and sleep with the majority sourcing cannabis illicitly, ...",9,0
https://www.sydney.edu.au/news-opinion/news/2021/02/18/wide-ranging-medical-cannabis-quality-of-life-study-launches.html,"

    
    
    Wide-ranging medical cannabis quality-of-life study launches


",,,"Feb 18, 2021 ... Major longitudinal study launched to assess changes in quality-of-life outcomes for patients prescribed medicinal cannabis ...",6,0
https://www.sydney.edu.au/news-opinion/news/2020/09/18/medical-cannabis-found-to-reduce-chemo-induced-nausea-vomiting.html,"
Medical cannabis found to reduce chemo-induced nausea, vomiting
",,,"Sep 18, 2020 ... The preliminary results from a NSW Government-funded world-leading trial of medicinal cannabis, sponsored by the University of Sydney, ...",8,0
https://www.sydney.edu.au/news-opinion/news/2018/07/04/general-practitioners-cautiously-supportive-of-medical-cannabis-Australian-survey-finds.html,"
Australian GPs cautiously supportive of medicinal cannabis access
",,,"Jul 4, 2018 ... A majority of GPs support medicinal cannabis being available on prescription, with their preferred “access model” involving trained GPs ...",8,0
https://www.sydney.edu.au/lambert/medicinal-cannabis/the-cannabis-plant.html,"
The cannabis plant
",,"Cannabinoids are a diverse array of ‘cannabis like’ molecules which encompass phytocannabinoids, endocannabinoids and synthetic cannabinoids. Our research examines the medical applications of individual cannabinoids, combinations of cannabinoids and terpenoids, and various full-spectrum extracts in preclinical and clinical studies.","Learn about the cannabis plant and medical marijuana. Discover: what cannabinoids and terpenoids are, and what the entourage effect is.",3,39
https://www.sydney.edu.au/lambert/how-to-get-medicinal-cannabis/state-and-territory-requirements.html,"
State and Territory requirements
",,,State and territory requirements vary depending on the medicinal cannabis product. Contact details for each Australian state for information on medicinal ...,4,0
https://www.sydney.edu.au/news-opinion/news/2021/04/12/scientists-put-stopwatch-on-cannabis-thc-intoxication-lambert-drug-driving.html,"
Scientists put the stopwatch on cannabis intoxication
",,,"Apr 12, 2021 ... With legal medical and recreational cannabis use both on the rise, new research from the Lambert Initiative for Cannabinoid Therapeutics has ...",7,0
https://www.sydney.edu.au/news-opinion/news/2018/11/12/few-doctors-prescribe-medical-cannabis-for-chemo-induced-nausea.html,"
Few doctors prescribe medical cannabis for chemo-induced nausea
",,,"Nov 12, 2018 ... Few doctors are prescribing medical cannabis for nausea and vomiting resulting from chemotherapy use because good evidence is lacking, ...",8,0
