url,headline,date,body,snippet,headline_word_count,body_word_count
https://thewest.com.au/business/public-companies/mgc-ships-medicinal-cannabis-products-to-brazil-c-1381618,MGC ships medicinal cannabis products to Brazil,"Saturday, 8 April 2023","ASX-listed medicinal marijuana group, MGC Pharmaceuticals, has successfully shipped its first tetrahydrocannabinol, or “THC” line of Mercury Pharma medicinal products to Brazil through its supply and distribution agreement with Sao Paulo-based ONIX Empreendimentos e Participações. Brazil offers a significant growth market for MGC Pharma, with about 10,000 patients suffering various medical conditions who are currently registered with the Brazilian authority, ANVISA, to receive cannabinoid products directly. MGC Pharma struck an initial seven-year supply deal with ONIX earlier this year. The deal involves an agreed minimum order volume of 20,000 units in the first year with an estimated value of at least €1 million. The minimum order volume from year two onwards is 50,000 units per annum with an estimated value of at least €2.5 million a year. According to Perth-based MGC Pharma, it has become the first company globally to ship high-THC formulations directly to a patient’s door in Brazil, without the need to visit a pharmacy, once they have a prescription written by an ONIX referring doctor. ONIX, which currently has more than 100 referring doctors in Brazil who can prescribe cannabinoid products under the country’s compassionate use program, is looking to have more than 300 referring doctors by the end of this year and more than 1,000 by mid-2021. This is an incredible achievement as no other company has shipped high-THC formulations directly to patients in Brazil before. We have been working closely with our Brazilian partner ONIX and remain confident that Brazil will be a huge strategically and commercially important region for us going forward. Feedback to date from patients in Brazil has been extremely positive and we are seeing rapidly increasing demand for our Mercury Pharma products.  NB: This article is for general financial markets news purposes only and is not to be taken as an endorsement of, or advertisement for any individual product, medicine, or drug. Is your ASX listed company doing something interesting? Contact: matt.birney@wanews.com.au Sign up for our emails Find out More © West Australian Newspapers Limited 2023","Oct 12, 2020 ... Medicinal marijuana group, MGC Pharmaceuticals, has successfully shipped its first tetrahydrocannabinol, or “THC” line of Mercury Pharma ...",7,335
https://thewest.com.au/business/health/endless-opportunities-with-medicinal-cannabis-market-growth-says-medicann-health-boss-c-8171799,"Endless opportunities with medicinal cannabis market growth, says MediCann Health boss","Saturday, 8 April 2023","The boss of Perth-based pharmaceutical company MediCann Health believes Australia has still to see the full potential of medicinal cannabis for people’s health and wellbeing. Founder and chief executive Matt Shales said that increasing research and clinical trials since the legalisation of medicinal cannabis in October 2016 was still throwing up opportunities. “When we look at the amazing results we’re getting from these cannabis products so far, it’s really just with the most standard formulas,” Mr Shales said. “Now that we can actually start to look into this with proper research ... we can improve the formulas, improve the efficacies to bring costs down for patients and have more targeted products for certain conditions.” Mr Shales founded MediCann in April 2019 after using medicinal cannabis for his own pain and sleep management for a decade. The company develops and supplies medicinal cannabis products around Australia through its MediCann Clinics. It is also collaborating with Curtin University and the Perron Institute to explore the use of medicinal cannabis in treating concussion to minimise the damage incurred by AFL players and others who have suffered head injuries. “With 200,000 concussions occurring in Australia each year with no treatment options, we feel it’s a very important area of research,” Mr Shales said. “The ultimate goal for that research is to have a medicine registered on the Australian Register of Therapeutic Goods to allow for government subsidies making the medicine affordable for Australians.” Pointing to FreshLeaf Analytics data which forecasts Australian medicinal cannabis sales of $423 million this year, up from an estimated $230m in 2021, Mr Shales said it was an exciting area to be in. “The stigma is slowly changing and acceptance is continuing to grow every day,” he said. MediCann Health is now looking to raise $3m through a crowdfunding campaign opening this month through Birchal, with the funds going towards the expansion of their medicine range, team and sales force. The firm’s portfolio includes medicinal cannabis brand Maali, hemp brands Hemp Brothers and EndoScent. Sign up for our emails Find out More © West Australian Newspapers Limited 2023","Sep 11, 2022 ... MediCann Health believes Australia has not scratched the surface of what medicinal cannabis can do for people's health and wellbeing, ...",11,348
https://thewest.com.au/business/public-companies/mgc-hits-record-weekly-sales-growth-of-medicinal-cannabis-products-c-1422795,MGC hits record weekly sales growth of medicinal cannabis products,"Saturday, 8 April 2023","ASX-listed medicinal marijuana group, MGC Pharmaceuticals, has achieved record weekly sales growth of its Mercury Pharma medicinal marijuana product line after breaking into the Australian and Brazilian markets, delivering a 65 per cent sales volume hike since June 30 this year. The Perth-based company says it has achieved consecutive record week-on-week sales and revenue growth through September and October, exceeding $225,000 in the past 4 weeks. The numbers represent its best consecutive weekly sales results to date. Whilst the company has already sold over 7,000 units across its key global markets since its Mercury Pharma product line was launched last year, it said it was on track to deliver on its stated sales objective of 5,000 units per month in the first half of 2021. Close to 1,900 patients worldwide have now been prescribed Mercury Pharma products and a growing order pipeline for products in Australia and its new market in Brazil is set to deliver record December quarter sales and quarterly revenue results according to management. The strong sales were achieved despite the COVID-19 pandemic and its impact on the operation of its European manufacturing facilities. MGC Pharma said its operations are structured and authorised to continue throughout the second European wave of COVID-19, despite a 30-day ‘epidemic’ being declared in Slovenia. It is increasingly brought to our attention that one of the major inhibiting factors for patient access to medicinal cannabis in Australia, and globally, is the high price point that comes with high-quality medications that are not covered by insurance. We are constantly streamlining our operations in order to lower our overall cost base, to ensure we can meet our obligation to increase patient access to affordable, high-quality medicinal cannabis products. We are seeing the results of this strategy through the increase in patient demand and sales volumes.’  The Mercury Pharma product line is a range of prescription-based phytocannabinoid medicines which are commonly used to treat anxiety, schizophrenia, nausea, vomiting, inflammation, and epilepsy. MGC Pharma’s recent research has highlighted the positive impact of using other, specific phytocannabinoid formulations developed by the company in the treatment of glioblastoma, the most aggressive and, so far, therapeutically resistant primary brain tumour. NB: This article is for general financial markets news purposes only and is not to be taken as an endorsement of, or advertisement for any individual product, medicine, or drug. Is your ASX listed company doing something interesting? Contact: matt.birney@wanews.com.au Sign up for our emails Find out More © West Australian Newspapers Limited 2023","Oct 20, 2020 ... ASX-listed and medicinal marijuana group, MGC Pharmaceuticals, has achieved record weekly sales growth of its Mercury Pharma medicinal ...",10,415
https://thewest.com.au/business/public-companies/mgc-to-enter-latin-american-with-medicinal-cannabis-deal-c-570346,MGC to enter Latin American with medicinal cannabis deal,"Saturday, 8 April 2023","ASX-listed bio-pharma company, MGC Pharmaceuticals, has taken a major step towards capturing the growing Latin American medicinal cannabis market by joining forces with Brazil’s leading merchant bank in a ground breaking sales and distribution deal. Under a 50/50 joint venture, MGC and BrasilInvest will sell and distribute MGC’s phytocannabinoid-derived medicines, not only in Brazil, but also in neighbouring Latin American countries where the use of medical marijuana has been approved. Argentina, Chile, Colombia, Mexico, Peru and Uruguay have all approved medicinal cannabis use, potentially opening up a number of lucrative sub-markets for the new joint venture partners. BrasilInvest was behind the formation of Brazil’s first merchant bank in 1976 and has since established a multi-billion dollar track record in investment strategies within South America. It will use its extensive network to promote MGC’s wares to medical professionals and potential distribution partners across key markets in the region. In particular it will register MGC’s pharmaceutical products in Brazil under the JV company’s name and establish working relationships with doctors. For its part, MCG will manage the operations of the new company, provide IP formulas and standard operating procedures for the registration of its products, supply marketing resources and submit all clinical data. Distribution in Brazil will be via MGC’s existing agreement with ONIX Empreendimentos e Participacoes, a local outfit which also promotes business activities in the region. With its population of 210 million, Brazil represents the largest economy in Latin America. It is also at the forefront when it comes to embracing the use of medical marijuana, with the first license for a cannabis-based medicine, Sativex, being issued in the country during January 2017. Earlier this year Brazil’s health regulatory agency, Anvisa, which supports the use of cannabis for medicinal purposes, submitted two proposals for public consultation looking at both the technical requirements for plant cultivation by pharmaceutical companies solely for medicinal and scientific purposes and the procedures involved for the registration and monitoring of cannabis-based medicinal products, their derivatives and synthetic analogues. There is also a bill currently on the floor of the Brazilian House of Representatives to allow the full commercialisation of cannabis sativa-based medicines. In another positive development, the MGC/BrasilInvest JV has received initial import permits and purchase order approvals from Anvisa. As a result, it is now expected that MGC’s first product will be shipped to Brazil during December. MGC Managing Director and co-founder Roby Zomer said: “This binding agreement with BrasilInvest represents a key milestone towards establishing MGC as a leading international producer of phytocannabinoid-based medicines.” “We look forward to implementing our ‘Seed to Medicine’ strategy in this new marketplace and hope to replicate the success we have experienced in both the Australian and European markets thus far.” With some industry observers predicting that the medical cannabis market in Latin America will be worth a whopping $8.5 billion by 2028, MGC may well eke out a solid early mover position in this most lucrative of markets. NB: This article is for general financial markets news purposes only and is not to be taken as an endorsement of, or advertisement for, any individual product, medicine or drug. Is your ASX listed company doing something interesting ? Contact : matt.birney@wanews.com.au Sign up for our emails Find out More © West Australian Newspapers Limited 2023","Nov 21, 2019 ... MGC Pharmaceuticals has joined Brazil's leading merchant bank in its quest to conquer Latin America's burgeoning medicinal cannabis market.",9,546
https://thewest.com.au/news/7-news-perth/medicinal-cannabis-clinic-offers-fresh-start-to-chronic-pain-sufferer-ng-b881049058z,Medicinal cannabis clinic offers fresh start to chronic pain sufferer,"Saturday, 8 April 2023","Perth’s first medicinal cannabis clinic aims to help doctors and patients access the controversial drug faster and with less red tape but it is not straightforward or cheap. Chronic pain sufferer Francesca James, 27, says the clinic is a fresh start for her. “It been a nightmare. This is a godsend ... my life sucked before cannabis,” she said. A consultation at a new clinic in Subiaco can prescribe the medicinal cannabis she used to import illegally. But the process not as simple as many think. You have to be referred to the clinic by a GP. After a 45-minute consultation the doctor decides if medicinal cannabis is suitable for a patient. But before they can prescribe medicinal cannabis permission needs be given by the Therapeutic Goods Administration and WA Health Department. That can take up to a month. If permission is granted the clinic can write a prescription which patients take to a pharmacy which then has to order it, usually in oil form. Not only is it hard to obtain medicinal cannabis it is also expensive. It is not on the Pharmaceutical Benefits Scheme so patients must pay the full price. Depending on the dosage — the average is about $300 to $350 a month. But for long-time sufferers like Ms James it is worth the expense. “This is her chance to get her life back,” Dr Berenice Blakemore, of Cannabis Access Clinics, said. Sign up for our emails Find out More © West Australian Newspapers Limited 2023","Dec 12, 2018 ... Perth's first medicinal cannabis clinic aims to help doctors and patients access the drug faster and with less red tape but it is not ...",10,250
https://thewest.com.au/business/public-companies/mgc-kicks-off-perth-medicinal-cannabis-trial-c-736556,MGC kicks off Perth medicinal cannabis trial,"Saturday, 8 April 2023","ASX-listed MGC Pharmaceuticals has teamed up with the University of Notre Dame in Perth to commence a new clinical trial for its “CogniCann” phytocannabinoid-derived medicine, after the first bulk shipment of the medicine arrived in Australia. The company said CogniCann was developed with the specific aim to treat symptoms associated with dementia and Alzheimer’s disease. The trial will involve a total of 50 patients with dementia or Alzheimer’s disease over the age of 65 at various aged care facilities across Perth. The specific aim is to evaluate the potential behavioural benefits of CogniCann on those patients as the company said the number of patients with various behavioural difficulties is growing globally. MGC Pharma said that this Phase two clinical trial was looking to confirm the clinical effectiveness of the CogniCann drug and determine the therapeutic individual dose response. Results of the trial are expected in the third quarter of 2021. The company said that the CogniCann medicine is the only dementia targeting phytocannabinoid-derived product available for prescription in Australia and it is accessible through its distributors, Cannvalate and Health House International by prescription under Australia’s Special Access Scheme. MGC Pharma’s research partner in the clinical trial, the University of Notre Dame, will be led by Dr Amanda Timler. Management said the research team at Notre Dame was recently rated at world-standards for its health and medical research during Australia’s 2018 Excellence in Research Assessments. Co-founder and Managing Director of MGC Pharma, Roby Zomer said: “I am proud to see the commencement of this Phase II clinical trial in partnership with UNDA. The Trial will provide the healthcare community with more evidence on the performance and the benefits of phytocannabinoid-derived medicines, in particular for patients suffering from dementia and Alzheimer’s disease, and we hope to see positive results in the near future.” “If successful, CogniCann® has the potential to positively impact the lives of patients and their carers around the world, and contribute to a novel avenue of clinical research and development for contending with the challenges of the effects of dementia and Alzheimer’s disease.” MGC is a reasonable way ahead of the majority of the medicinal cannabis hopefuls listed on the ASX. The company already has income from existing developed products as it continues its considerable research and development work. Is your ASX listed company doing something interesting ? Contact : matt.birney@wanews.com.au Sign up for our emails Find out More © West Australian Newspapers Limited 2023","Mar 8, 2020 ... MGC Pharma has begun a clinical trial in Perth for its “CogniCann” cannabis medicine which aims to treat symptoms associated with dementia.",7,406
https://thewest.com.au/business/public-companies/mgc-writes-1000th-medicinal-cannabis-prescription-c-534993,MGC writes 1000th medicinal cannabis prescription,"Saturday, 8 April 2023","MGC Pharmaceuticals has achieved a significant milestone, this week surpassing more than 1,000 prescribed products to more than 500 unique patients that have either prescribed for or are being processed to receive prescriptions of its medicinal cannabis-based pharmaceutical products in Australia and the UK. Notably, the company more than doubled the number of units prescribed in October, when compared to September. Management said the recent landmark milestone appears to underline its strengthening position and the rapidly growing popularity of medicinal cannabis-based health products. MGC has managed to grow the demand for its proprietary medicines on a global scale within a relatively short period, demonstrating the immediate, ongoing and material revenue-generating potential of the company’s products. These include CannEpil and MXP100, which are prescribed in Australia under the Special Access Scheme and in the UK through specialised doctors permitted to prescribe phytocannabinoid-derived medicines under the Early Access to Medicines Scheme. CannEpil is the company’s high cannabidiol, or “CBD”, and low tetrahydrocannabinol, or “THC”, phytocannabinoid-derived formulation, used in the treatment of drug-resistant epilepsy. The MXP100 product is recommended for use in mild neurological disorders, inflammatory and hepatoma patients, with the latter being a cancer of the cells of the liver. Both products are proprietary medicinal drugs developed internally through MGC’s research and development divisions. The company is rapidly advancing its international distribution efforts in a bid to lock down major markets ahead of any competing products. One of MGC’s key distribution partners, Cannvalate, who account for more than 50% of prescriptions to date, due to its close ties with the medical community and national footprint, has reported increased interest in the company’s products. MGC also said that Cannabis Access Clinics had recently joined fellow Australian, Tetra Health, as one of the company’s important clinical partners who will expand the network of medical professionals informed of its available product range. The company’s European-based, “seed to pharmacy” strategy closes the loop for its medicinal cannabis products, with the MGC now on track to significantly increase its production capacity after recently signing a long-term lease agreement with Maltese Government-owned Malta Industrial Parks, for a 6,000 square metre site to cultivate cannabis plants. The company has begun site works for the fully-integrated, multi-storey building in Malta that will contain 15,000 square metres of space for the cultivation and manufacture of cannabinoid-derived medicines for its proposed global distribution networks. This facility, when constructed, will be capable of producing over 8,000 units of each MGC Pharma product per hour and has been designed with significant excess capacity to meet the company’s future needs, once in full swing. MGC’s “EU-GMP” manufacturing facility in Slovenia can produce pharmaceutical-grade phytocannabinoid medicines for about 5,000 patients a month at full capacity. The ASX-listed company recently received new purchase orders exceeding €0.3m, or AUD$485,000, across its product range, as demand continues to skyrocket globally. MGC Pharma Co-founder and Managing Director, Roby Zomer said: “From a standing start, we have now hit 1,000 prescriptions in a short space of time and ahead of schedule, demonstrating a clear demand for MGC Pharma’s products. The established profile of return patients for (the) products is expected to drive the prescription growth rate through November, December and beyond.” Cannvalate CEO Sud Agarwal said: “We are delighted to see that MGC Pharma's product range has been so well received by the medical community. Each week, there are hundreds of patients that are accessing MGC range medication via our network. The spike of interest has been due to superior quality (EU-GMP), competitive pricing and individually designed condition-specific medications.” NB: This article is for general financial markets news purposes only and is not to be taken as an endorsement of, or advertisement for any individual product, medicine or drug. Is your ASX listed company doing something interesting ? Contact : matt.birney@wanews.com.au Sign up for our emails Find out More © West Australian Newspapers Limited 2023","Oct 31, 2019 ... MGC Pharmaceuticals has surpassed 1000 prescriptions delivered for its medical cannabis-based products, to more than 500 unique patients.",6,644
https://thewest.com.au/news/health/wa-company-little-green-pharma-harvests-first-crop-could-have-medicinal-cannabis-available-in-weeks-ng-b88829216z,"WA company Little Green Pharma harvests first crop, could have medicinal cannabis available in weeks","Saturday, 8 April 2023","Australia’s first locally grown medical cannabis for commercial use could be available for patients within weeks. Perth phytopharmaceutical company Little Green Pharma harvested its first crop in WA’s South West last week, almost 18 months after it revealed it was cultivating plants. It is the first time medical cannabis has been grown in WA, with Little Green Pharma the only company in the State with a licence and permit from the Office of Drug Control to grow crops locally. Managing director Fleta Solomon said the company had reached a major milestone towards its goal of producing high-quality, locally grown medicinal cannabis. Its long-term aim was to build a world-class production facility in WA and expand business. “We will now dry the flower and shortly after extract a sample of resin to send to an approved certified laboratory,” Ms Solomon said. “Testing the resin for purity and quality assurance is mandatory.” Strict controls around the production of medical cannabis meant the company could not reveal the location of its secure hydroponic growing facility. Ms Solomon said the plants being cultivated generally had lower levels of the psychoactive THC cannabinoid and higher levels of the non-psychoactive CBD cannabinoid compared with recreational marijuana. Directors of the company recently returned from a fact-finding mission on the medical cannabis industry, taking them to Israel, Canada and the US. Ms Solomon said they had looked at large-scale growing and manufacturing facilities and planned to raise funds to enable the company to ramp up production. The company also wanted to take part in medical research and was in talks with several research institutions in WA and overseas. Patients will need a doctor’s prescription to get medical cannabis. Sign up for our emails Find out More © West Australian Newspapers Limited 2023","May 8, 2018 ... The first crop of medical cannabis was harvested last week. ... its goal of producing high-quality, locally grown medicinal cannabis.",15,294
https://thewest.com.au/business/public-companies/mgc-hits-1800-medicinal-cannabis-prescriptions-c-610650,MGC hits 1800 medicinal cannabis prescriptions,"Saturday, 8 April 2023","MGC Pharmaceuticals has achieved yet another significant milestone with the bio-pharma company this week surpassing more than 1,800 prescribed products of its medicinal cannabis-based pharmaceutical products in Australia, UK, Brazil and Ireland. Notably, the increase comes after the company recently broke into the European pharma-market after getting green-lighted from the Irish Government to sell its phytocannabinoid-derived “CannEpil” product to epilepsy sufferers. In Brazil, key legalisation was recently passed relating to cannabis for medicinal use and MGC expects prescription numbers to begin to grow in this emerging market too. The ASX-listed company is at the forefront of growth in the burgeoning medicinal cannabis market with its proprietary CannEpil and MXP100 medicines rapidly gaining acceptance globally. CannEpil is the company’s high cannabidiol and low tetrahydrocannabinol, phytocannabinoid-derived formulation, used in the treatment of drug-resistant epilepsy. The MXP100 product is recommended for use in mild neurological disorders, inflammatory and hepatoma patients, with the latter being a cancer of the cells of the liver. Both products are proprietary medicinal drugs developed internally through MGC’s research and development divisions MGC was recently awarded a $25,000 payment from the Innovation Connection Grant from the Australian Government to support its research. In particular, the money is being used to support a clinical trial for its CogniCann product that is being run alongside the University of Notre Dame in Western Australia. The trial is set to assess human patients’ symptoms that are associated with dementia and Alzheimer’s disease in a controlled, double-blind placebo trial. Worldwide, every three seconds, someone is diagnosed with Dementia, according to Alzheimer’s Disease International – and according to the Australian Bureau of Statistics, dementia is the second leading cause of death in Australians. Even the West Australian Government has been getting in on the action with Health Minister, Roger Cook, recently revealing that WA GP’s will be able to prescribe medicinal cannabis to a wide range of patients. If MGC’s CogniCann® trial is successful in reducing or eliminating the devastating symptoms associated with Alzheimer’s and Dementia, the company will eek itself out a spot in the medical community usually reserved for big pharmas. On the international front, the company is rapidly advancing its distribution efforts in a bid to lock down major markets with Managing Director and Co-founder, Roby Zomer saying: “First prescriptions in Ireland signify another milestone for MGC as we expand our product offering to new territories and thereby gain access to more potential customers.” “We continue on an upward trajectory, as we’ve increased our prescription numbers by more than 25% is just a few weeks. I’m confident that in 2020 we’ll be able to deliver our phytocannabinoid derived medicines in even more jurisdictions as we continue to gain momentum.” MGC has a “seed to pharmacy” strategy that closes the loop for its medicinal cannabis products right through the value chain from genetic development to packaged pharmaceutical, sale-ready products. NB: This article is for general financial markets news purposes only and is not to be taken as an endorsement of, or advertisement for any individual product, medicine or drug. Is your ASX listed company doing something interesting ? Contact : matt.birney@wanews.com.au Sign up for our emails Find out More © West Australian Newspapers Limited 2023","Dec 17, 2019 ... MGC Pharmaceuticals has surpassed 1800 prescriptions delivered for its medical cannabis-based products across the globe.",6,532
https://thewest.com.au/business/public-companies/mgc-set-to-benefit-from-tga-medicinal-cannabis-changes-c-1314569,MGC set to benefit from TGA medicinal cannabis changes,"Saturday, 8 April 2023","The Australian operations of MGC Pharmaceuticals have been given a potential boost following the recent move by the Therapeutic Goods Administration to allow certain low-dose medicinal cannabis products to be dispensed over the counter by chemists without the need for a prescription. The ASX-listed, Perth-based medicinal marijuana company hopes to be one of the first suppliers out of the blocks come June 2021 when the TGA approval kicks in. And MGC Pharma feels it is in the box seat to capitalise on the TGA’s decision to “down-schedule” some low-dose cannabidiol-based medicines from Schedule 4 to Schedule 3 status. We are very pleased to see the proposed down-scheduling changes from the TGA. We are one of the market leaders in Australia for CBD products and these changes provide MGC Pharma with the ability to further increase our product offering and market penetration, while at the same time improving accessibility and affordability of high-quality CBD products for patients. The company recently imported its first shipment of the European Union-Good Manufacturing Practice certified Mercury Pharma product line, which significantly expands the current range of CBD medicines available in Australia. MGC Pharma says the soon-to-be-finalised acquisition of the Medicinal Cannabis Clinics business, which it is buying for $1.4 million in cash and scrip from Melbourne-based medicinal cannabis distributor Cannvalate, also bolsters the distribution capabilities of MGC Pharma’s CBD-based products in the Australian market. Eligible CBD medicines under Schedule 3 are still required to be registered on the Australian Register of Therapeutic Goods, or ARTG, which requires medicinal cannabis companies to comply with strict Good Manufacturing Practices. To that end, MGC Pharma has already launched a clinical program to develop new CBD medicines in its Mercury Pharma product line that meet the proposed Schedule 3 regulations, with the aim of being one of the first companies to see Schedule 3 CBD products on pharmacy shelves next year. Last week the ASX-listed company announced it had arranged a $15 million financing facility with US-based investment group Mercer Street Global Opportunity Fund. NB: This article is for general financial markets news purposes only and is not to be taken as an endorsement of, or advertisement for any individual product, medicine, or drug. Is your ASX listed company doing something interesting? Contact: matt.birney@wanews.com.au Sign up for our emails Find out More © West Australian Newspapers Limited 2023","Sep 14, 2020 ... The Australian operations of MGC Pharmaceuticals have been given a potential boost following the recent move by the Therapeutic Goods ...",9,389
