url,headline,date,body,snippet,headline_word_count,body_word_count
https://www.watoday.com.au/national/western-australia/should-wa-loosen-its-control-of-medicinal-cannabis-prescriptions-here-are-the-arguments-20201230-p56qx3.html,Should WA loosen its control of medicinal cannabis prescriptions? Here are the arguments,"December 31, 2020 — 6.52am","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 2 years ago A call to cut more red tape over the prescription of medicinal cannabis that contains THC, to bring WA in line with the eastern states, has been met with varying levels of scepticism by doctors. Late last year, Health Minister Roger Cook announced GPs could prescribe medicinal cannabis instead of specialists, unless it was for children or those at risk of addiction. Medicinal cannabis being grown in WA for clinical trials in the treatment of chronic illnesses and pain.Credit: Marta Pascual Juanola According to prescribers, ready made CBD cannabis oil which does not contain THC – the psychoactive component that creates a high – doesn’t need state approval but all other medicinal cannabis – which can contain varying degrees of minimal THC – does. And every prescription has to get Therapeutic Goods Administration approval. The TGA approved more than 80,000 applications over the past year, with monthly data showing figures had almost doubled since the end of last year. Before the move to GP approvals in WA, the number of state-approved treatments totalled 876 over three years. That figure was definitely on the rise, according to Subiaco pharmacist and director of the St Francis Group, David Cooper. But he warned that his Subiaco clinic was experiencing a significant backlog and seeing a build-up of patients suffering chronic anxiety, insomnia and pain going to the black market or the eastern states, particularly for medicinal cannabis that contains THC. ""There is a massive black market for [cannabis oil] and it’s readily available and they can buy it within hours,"" he told 6PR’s Gary Adshead on Tuesday. ""Whereas our process does take days to weeks ... and the state health process is too heavy-handed and needs to be released, much like what’s happening on the east coast."" Mr Cooper has called for a review of the WA department’s approvals process, as well as the ability for his pharmacy to compound its own unique cannabis oils using raw ingredients that range from zero to 30 milligrams of THC – the highest class permitted. His bid to compound raw ingredients was rejected on the grounds that it would be deemed manufacturing a prohibited substance. Mr Cooper said WA was out of step with the rest of Australia given Queensland didn’t have the same barriers and was easily prescribing THC-based oils at almost 10 times the volume of WA, despite only having twice the head of population. To ""further rub salt into the wound"", he claimed the health department threatened him with a pharmaceutical audit. ""The West Australian policy is too heavy-handed they’re treating it like an opiate and it just isn’t,"" Mr Cooper said on air. The department has been contacted for comment. The Australian Medical Association’s WA president Andrew Miller rejected Mr Cooper’s call, saying any backlog for THC prescriptions demonstrated that the correct checks and balances were in place. ""THC has not been shown in any clinical trials as being a particularly useful drug,"" he said. ""If they are looking at it from a harm minimisation perspective it needs to be backed with research about why THC is so useful and that’s what drug companies have failed to do. ""Prescription cannabis is not a replacement for the black market and was never intended to be."" GP and medical advisor to Little Green Pharma, Joe Kosterich, disagreed, saying there was plenty of evidence that medicinal cannabis, with varying amounts of the two cannabinoids – CBD and THC – could be helpful for people with post traumatic stress disorder, multiple sclerosis and other chronic illnesses. He said WA had made great progress over the past 12 months and while prescriptions could be better streamlined like those in New South Wales and Queensland, he did not agree with Mr Cooper’s assessment of the WA system. ""As a prescriber, I can say they will turn around applications in two business days,"" Dr Kosterich said. ""Where they do draw a line is dosages above 30 milligrams of THC per day and that’s going to be an issue for some but not most people. ""It’s not a panacea for everybody but it certainly can help."" Dr Kosterich also said there were plenty of ready-made medicinal cannabis products in the local market already that could satisfy patient needs without privately compounding. Mr Cooper remained hopeful of getting an audience with either of the major parties about his issue, however, neither responded to the call. Instead, a new party to Perth’s coming election, the Legalise Cannabis Western Australia Party was more than sympathetic to his cause, with candidate Leo Treasure calling out both parties for failing to lead on the issue. ""The WA public deserves policies as good as those in other states,"" he said. ""[Thousands of] vulnerable people suffering from many different ailments will benefit from efficient production and distribution."" Copyright © 2023","Dec 31, 2020 ... A call to cut more red tape over the prescription of medicinal cannabis that contains THC in Western Australia, to bring it into line with ...",13,825
https://www.watoday.com.au/nsw/parents-pin-hopes-on-medical-cannabis-trial-for-children-with-epilepsy-20150322-1m5c4d,Parents pin hopes on medical cannabis trial for children with epilepsy,"March 23, 2015 — 8.10pm","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 8 years ago On a bad day, four-year-old Bethany Edwards sleeps for more than 18 hours, has trouble holding a fork and finds it hard to walk without falling over or bumping into things. Bethany was 18 months old when she was first diagnosed with epilepsy.  Now four, she suffers from night-time seizures and associated speech and learning difficulties.  ""It's a constant struggle,"" said Bethany's mother, Karen Edwards. Parents hold out for medical cannabis trial: Bethany Edwards plays at home with younger sister Lara.Credit: Brendan Esposito As protocols are being drawn up for the clinical trial of medical cannabis to treat children with severe epilepsy, Karen and Brian Edwards are anxiously waiting to see if Bethany will be included when the trial starts next year.  ""[Epilepsy] affects so many aspects of everyday life,"" Mrs Edwards said. ""Even just going on a holiday, we have to stick to major cities so if Bethany does have a seizure, there's a hospital that can deal with that.""  ""Epilepsy affects so many aspects of everyday life.""Credit: Brendan Esposito The clinical trial will be the first of its kind in Australia and part of a handful of similar studies carried out worldwide.  Dr John Lawson, paediatric neurologist at Sydney Children's Hospital and a principal investigator on the trial, said that up to 200 children from as young as six months of age may be included.  Those enrolled will be at the severe end of the epilepsy spectrum, and at least a couple of standard medications will have to have failed to help them.  Mrs Edwards said Bethany's neurologist at The Children's Hospital at Westmead would be putting Bethany's name forward to be included in the trial, but there was no guarantee she would get in.  And if she doesn't? ""I'd be gutted,"" Mrs Edwards said. ""She's four, you feel like you're her voice, you have to fight for them and get them the best."" Some parents have been unable to wait for a trial, sourcing medical marijuana illegally, usually in desperate attempts to ease their children's suffering.  But Dr Lawson said a trial was essential to look at the safety and efficacy of the product.  ""You hear a few commentators, even medical experts, saying we don't need trials, but they're talking about adults. ""We're talking about very young children, we need to know the safety and families are asking for that."" The medicinal cannabis will be in the form of a tincture or edible product.  Unlike street marijuana, which contains high levels of the chemical compound THC, the oil extract used in the trial will have high levels of cannabidiol or CBD, and low levels of THC.  This maximises the anti-seizure potential and decreases the risk of mind-altering psychoactive effects, Dr Lawson said. Mrs Edwards agrees that a trial is necessary to ensure the treatment is safe, but would trade Bethany's seizures and her medication side effects for the main side effects of medical marijuana – fatigue and drowsiness – any day.  ""Every time I give her her medication I feel like I'm poisoning her in a way because I know the side effects.""  Bethany is on an anti-epileptic and a steroid medication, and is already suffering the adverse effects of the steroid, with weight gain, mood changes, insomnia and a weakened immune system.    ""The steroids really affect her ability to cope emotionally, so she'll have a big meltdown and people walk past and you hear, 'She needs a good slap' kind of comments and it's like, 'You don't know what's going on'. ""Just because she's not in a wheelchair … it's a disability that you can't see,"" Mrs Edwards said.    Mrs Edwards hopes medicinal cannabis may control Bethany's seizures to the extent that she could come off her other medications.  But Dr Lawson is cautioning against parents expecting miracle cures.  ""The best estimates at the moment are maybe one-third will benefit and even in those who benefit, it's not necessarily a miracle – their seizures might be reduced,"" he said. For the Edwards, there's a chance the trial could mean a more ""normal"" life for Bethany and a better start at school next year. Purple Day, the international epilepsy awareness day, is Thursday, March 26.  Visit Epilepsy Action for more information on Purple Day and how to support Australians living with epilepsy.   Copyright © 2023","Mar 23, 2015 ... Some parents have been unable to wait for a trial, sourcing medical marijuana illegally, usually in desperate attempts to ease their children's ...",11,740
https://www.watoday.com.au/national/nsw/medicinal-cannabis-the-right-oil-for-ellie-the-staffy-her-owner-believes-20160713-gq4udi.html,"Medicinal cannabis the right oil for Ellie the Staffy, her owner believes","July 13, 2016 — 1.15pm","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 6 years ago Ellie, a 15-year-old Staffy, has a new spring in her step, which her owner believes is thanks to a daily dose of medicinal cannabis oil under her tongue, although vets advise against the practice. Old age had started to catch up with Ellie, the faithful companion of Wollongong resident Paul Lawrence. Paul Lawrence with his 15-year-old staffy Ellie who he claims has benefited from a daily dose of cannabis oil. Credit: Sylvia Liber She was suffering from arthritis and glaucoma, had lost her appetite and was experiencing fitful sleep. For Mr Lawrence, a cancer survivor who two years ago ditched legal painkillers in preference of medicinal cannabis, the remedy was obvious. ""My friends were sceptical but the results were clear. Ellie had been hobbling around, not eating or sleeping, but after starting her on cannabis oil 12 months ago she was back running up and down the backyard, her appetite had returned and she was sleeping much better."" Mr Lawrence said the oil he administers to his beloved pet did not contain the psycho-active compound tetrahydrocannabinol (THC), yet did retain cannabidiol (CBD) which he believed had therapeutic benefits. This month NSW Premier Mike Baird and Minister for Medical Research Pru Goward announced that, in an Australian first, children with severe treatment-resistant epilepsy would be provided with compassionate access to a cannabis-based medicine made of pure CBD. In announcing the scheme at Sydney Children's Hospital on July 5, Ms Goward said the government recognised the potential of such medicines, particularly for people who had exhausted conventional treatment options. ""We have embarked on an ambitious research program to explore the possible therapeutic benefits of cannabinoids for patients suffering from a range of debilitating conditions,"" Ms Goward said. Legal access to medicinal cannabis can not come quick enough for Mr Lawrence.  Diagnosed with a rare spinal tumour in 2010; he had three vertabrae removed during a 43-hour operation. Five of his ribs, a leg bone and 60 pieces of titanium were used to rebuild his spine. Legal painkillers did not curb his chronic pain and caused serious side effects. ""What I'm doing to treat myself for ongoing pain - and my dog - is legal in several countries around the world, but not Australia,"" he said. ""We don't need more research, more trials - we need action. It's great medicinal cannabis is being made available for some kids with severe epilepsy but I don't see much compassion when terminally ill patients and others in chronic pain are not allowed access. It's not about smoking pot and getting stoned - it's about ingesting it to get some pain relief."" In the US, doggie treats containing cannabis compounds are marketed to owners of ailing and elderly animals as pain relievers. However it's important to note that the Australian Veterinary Association does not recommend the administration of cannabis oil to dogs. ""Anyone who is concerned about their older pet should contact their local veterinarian to discuss the best management plan,"" AVA member Paula Parker said. Specifically Dr Parker warned against the use of products containing THC, which she said would be dangerous for pets. ""THC causes a neurological depressant effect in dogs similar to people,"" she said. ""Owing to their smaller body size, this can lead to dangerous levels of depression of heart and lung function, especially where the compound has been concentrated in oil or butter form.  ""Anyone who suspects their pet may have ingested THC in any form should contact their local veterinarian."" Illawarra Mercury Copyright © 2023","Jul 13, 2016 ... Ellie, a 15-year-old Staffy, has a new spring in her step, which her owner believes is thanks to a daily dose of medicinal cannabis oil ...",12,606
https://amp.watoday.com.au/national/queensland/not-enough-evidence-to-use-medicinal-cannabis-for-mental-disorders-20191028-p5353r.html,Not enough evidence to use medicinal cannabis for mental disorders,"October 30, 2019 — 10.36am","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 3 years ago There is not currently enough evidence to suggest medicinal cannabis has any benefit for treating psychological disorders, a new study has found. Much has been made in recent years of the positive medical effects of cannabis-derived compounds to treat a range of physical and mental ailments. Mature cannabis plants being grown for medicinal use at the facility run by Medifarm on the Sunshine CoastCredit: Stuart Layt However, there has been relatively little actual research done into the effects of cannabinoids when used to treat conditions, especially mental disorders. A review of the available research, covering 83 studies and three thousand people, has found the use of cannabinoids for mental health issues can not currently be justified. ""One of the reasons we did the review is that a very common reason people report using medicinal cannabis is to treat symptoms of these disorders,"" the University of Queensland's Professor Wayne Hall, one of the study’s authors, said. ""There are disorders where there is evidence of benefit, but the great majority of people who are being treated with medicinal cannabis aren’t being treated for those conditions."" In particular, Professor Hall said nausea and vomiting in chemotherapy patients, muscle spasms caused by multiple sclerosis and seizures caused by a particular type of epilepsy had been shown to be helped by medicinal cannabis. However, every mental condition which advocates claimed to be able to treat using a cannabinoid simply did not have the evidence to support it. Given that, the study’s lead author, Professor Louisa Degenhardt of UNSW Sydney, said there needed to be more investment in full clinical of medicinal cannabis. ""Clinicians and consumers need to be aware of the low quality and quantity of evidence for the effectiveness of medicinal cannabinoids in treating mental health disorders and the potential risk of adverse events,"" Professor Degenhardt said. ""Given the likely interest but scant evidence to guide patient and clinician decisions around cannabinoids for mental health, there is an urgent need for randomised controlled trials to inform whether there are benefits of cannabinoids for these indications."" In particular there was no reason why cannabinoids were not being subjected to the same regulatory approval process as other prescription medications, the report’s authors said. Professor Hall stressed it was possible there were benefits to using cannabinoids to treat mental disorders, but there simply wasn’t enough evidence to back up the claim at this stage. ""There’s been this early and broad generalisation from the fact that it does have some medical uses that it can be used for any medical purpose, which is what is often advocated by some of the more enthusiastic supporters of medical cannabis,"" he said. ""The risk with THC, which is the ingredient which produces the high in cannabis, there’s a real risk to administering something like that to people who already have disturbed mood, anxiety and depression."" Only 40 of the 83 studies examined were the ideal randomised control trials, where the patients were not aware whether they were receiving the drug or not, while in the rest of the trials patients were aware they were being given cannabis products, potentially skewing the results. The authors pointed out the findings related specifically to medicinal cannabis, such as the medically derived extracts THC and CBD, as opposed to recreational use of cannabis, which has a detailed body of evidence suggesting adverse mental effects with prolonged use. The study has been published in the journal The Lancet Psychiatry, as part of The Lancet’s series on drug use more generally. Copyright © 2023","Oct 30, 2019 ... The authors pointed out the findings related specifically to medicinal cannabis, such as the medically derived extracts THC and CBD, as opposed ...",10,609
https://amp.watoday.com.au/sport/cannabis-will-be-taken-off-wada-banned-list-says-top-sports-doctor-20220203-p59th9.html,"Cannabis will be taken off WADA banned list, says top sports doctor","February 3, 2022 — 3.12pm","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 1 year ago The sports doctor who advised Lauren Jackson on using medicinal cannabis as part of her comeback says the star basketballer has a straightforward case for an exemption, and believes cannabis will eventually be removed from anti-doping banned lists because it is not performance enhancing. Dr Peter Brukner, a sports physician and researcher who has worked with leading sides such as the Australian cricket team, the Australian Olympic team, Liverpool FC and several AFL clubs, has spent the past 12 months studying medicinal cannabis before a clinical trial he is running at La Trobe University this year. The trial is researching the effect of cannabis on osteoarthritis knee pain, and will involve many ex-AFL players. The trial is associated with Levin Health, a Melbourne-based medicinal cannabis company that last year formed a sports advisory panel of Jackson, ex-AFL coach Alastair Clarkson and jockey Damien Oliver. Jackson, a Naismith Memorial Basketball Hall of Famer who is rated as one of the best female players in history, has been taking medicinal cannabis since last year to treat chronic knee pain, which led to her retirement in 2016. Jackson has found great relief from the treatment, so much so she began contemplating a return to the court for home town team Albury Wodonga Bandits in the second-tier NBL1 East. But given almost all cannabis products are on the World Anti-Doping Agency list of substances prohibited in competition - and can attract lengthy suspensions - the 40-year said her comeback would hinge on getting a Therapeutic Use Exemption (TUE). Lauren Jackson playing for the Seattle Storm in 2010.Credit: Getty “If it is prescribed by a doctor under the appropriate process, there is a particular medicinal access scheme in Australia that you have to go through, if it is under that scheme, they will issue a TUE,” Brukner said. “Lauren was concerned that she may not be able to continue taking the cannabis if she goes back. I have reassured her that is not the case.” The need for athletes to seek TUEs for medicinal cannabis may be a moot point in the near future, Brukner believes. Debate has raged for years about whether cannabis is performance enhancing and belongs on WADA’s prohibited substances list. In 2012, the Coalition of Major and Professional Sports, which represents the AFL, NRL, Rugby Australia, Cricket Australia and Tennis Australia, argued that WADA should remove cannabis from the banned list. In 2018, WADA removed cannabidiol, which is more commonly referred to as CBD and is the non-psychoactive, pain-relieving cannabinoid found in cannabis, from its prohibited list. Team doctor Peter Brukner speaks to Australian batsman Matt Renshaw during a series against Pakistan in 2017.Credit: Getty Images Last year, US sprinter Sha’Carri Richardson was prevented from running in the Tokyo Olympics after testing positive to cannabis. After an outpouring of sympathy for the runner, WADA announced it would respond to feedback from “a number of stakeholders” and review cannabis’ status on the prohibited list in 2022. “There is no performance enhancement. The reason cannabis is on the banned list is not because of performance enhancement, it is because of legality issues and they didn’t want to encourage [athletes] to take it,” Brukner said. “Arguably it is performance limiting. There has never been any evidence it is performance enhancing. “I think it will come off soon. There are moves to review it and it probably should have never been on it. It probably affects a sport’s business more, whether people take cannabis or not. It is just one of those things, they put all those illegal, antisocial drugs on the list. “But the use of cannabis has become more and more widespread, it is legal in half the states of America.” Brukner said if trials confirmed medicinal cannabis was an effective source of pain relief for athletes, there would be no reason why active sportsmen and sportswomen could not use it as part of regular treatment. Sports news, results and expert commentary. Sign up for our Sport newsletter. Copyright © 2023","Feb 3, 2022 ... Exemptions to use medicinal cannabis while competing, such as the one sought by Lauren Jackson, won't be needed in the future, according to ...",12,690
https://www.watoday.com.au/national/queensland/doctors-still-sceptical-of-medicinal-cannabis-study-finds-20190507-p51kw7.html,"Doctors still sceptical of medicinal cannabis, study finds","May 11, 2019 — 7.45pm","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 3 years ago Medical professionals want more information about medicinal cannabis before they start prescribing it to patients, a new study has found. Researchers from the Queensland University of Technology conducted a wide-ranging review of 26 published studies across Australia, the United States, Canada and Ireland. Health professionals support medicinal cannabis as a treatment option but many don't know enough about it.Credit: Alamy QUT pharmacy PhD candidate Kyle Gardiner led the analysis and said the main theme running through all the studies was that medical professionals broadly supported the idea of medicinal cannabis but lacked information about it. “Health professionals support medicinal cannabis but that support is sometimes offset by their concerns,” Mr Gardiner said. “Although they might feel it has a place in therapy, they also don’t have a clear idea about where it fits.” In particular, a major concern among many of the health professionals surveyed was the psychiatric effect of medicinal cannabis, which it was felt had not been researched thoroughly enough. In nearly every jurisdiction where medicinal cannabis is legal, at least one medical professional is required to sign off for a person to access it. “There’s a big difference between being supportive of medicinal cannabis and actually delivering medicinal cannabis on the ground,” Mr Gardiner said. “There’s still a lot we don’t know about medicinal cannabis ... when it comes to the pharmacology, what does it do on a molecular level and how does it affect things like chronic pain or symptoms of MS [multiple sclerosis]?” Mr Gardiner stressed the study - supervised by Professor Lisa Nissen, Head of QUT’s Faculty of Health School of Clinical Sciences - wasn’t about the benefits of medicinal cannabis itself, but how medical professionals reacted to the emerging treatment. “It puts health professionals in quite a tricky position, because if you don’t have a good understanding of a drug, how best do you move forward from a clinical perspective?” he said. The Queensland government last month passed laws making it easier for doctors and patients to access medicinal cannabis, after initially making it legal in 2015. Under the new changes, medicinal cannabis is treated the same as other drugs of addiction or prescription drugs. In welcoming the new laws, Health Minister Steven Miles said medicinal cannabis had “great potential” as a treatment and an industry. “There are several companies working towards having medicinal cannabis products produced locally in Queensland,” he said. “I look forward to following their progress in taking their products to market. This will help improve access for people and reduce costs for these increasingly important medicines.” Importantly, despite the changes for medicinal cannabis it remained illegal for the Queensland public to grow cannabis for medical purposes. The study found overall there was a growing acceptance of medicinal cannabis as a treatment option in newer studies compared to older ones. It also found overall specialist practitioners were more likely to be supportive of medicinal cannabis as a treatment option than health professionals in general or community practice. The findings have been published this week in the journal PLOS One. Copyright © 2023","May 11, 2019 ... Medical professionals want more information about medicinal cannabis before they start prescribing it to patients, a new study has found.",8,534
https://www.watoday.com.au/national/nsw-premier-mike-baird-to-open-medicinal-cannabis-symposium-20141116-11nrie.html,NSW Premier Mike Baird to open medicinal cannabis symposium,"November 16, 2014 — 2.35pm","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 8 years ago Premier Mike Baird will launch a symposium debating the medical use of cannabis on Friday. His appearance will add further weight to a controversial push to decriminalise the use of cannabis for the treatment of sick and terminally ill patients. Premier Mike Baird will launch a symposium on the medical use of cannabis.Credit: Alex Ellinghausen Lucy Haslam, whose 24-year-old son Daniel has been using cannabis for relief of nausea, vomiting and poor appetite related to chemotherapy for the treatment of bowel cancer, has organised the symposium with the support of state government funding. To be held in Tamworth on Friday and Saturday, the symposium follows Mr Baird's public support for finding a way to use cannabis as a medical treatment for illnesses such as cancer. The symposium will host a range of Australian and overseas health and legal experts to discuss the merits of the treatment. Earlier this year, Nationals MP for Tamworth Kevin Anderson drafted a private members bill to allow terminally ill patients to use cannabis.  Mr Baird later announced the NSW government would run clinical trials of the drug. The trial will be devised by a working party that will report back to the government by the end of the year. Prime Minister Tony Abbott has thrown his support behind the planned trial. Mr Baird has also said the existing police discretion to not charge terminally ill adults if they are caught using cannabis for pain relief would be formalised through new guidelines. He said the clinical trial would ""explore further the role cannabis can play in providing relief for patients suffering from a range of debilitating or terminal illnesses"". Last year, a NSW Upper House Inquiry recommended the state government approve use of cannabis for those suffering from chronic pain and amend the Drug Misuse and Trafficking Act to add a defence to cover the authorised use. Health Minister Jillian Skinner indicated she would not support the recommendation but wrote to the federal government asking for further clinical research on the issue. Ms Haslam said Mrs Skinner and the Australian Medical Association had declined her invitation to the symposium.    Copyright © 2023","Nov 16, 2014 ... Premier Mike Baird will launch a symposium debating the medical use of cannabis on Friday.",9,378
https://www.watoday.com.au/national/huge-new-hub-for-medicinal-cannabis-sleep-capsules-20220629-p5axto.html,Huge new hub for medicinal cannabis sleep capsules,"June 29, 2022 — 6.54pm","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 9 months ago Replay Copyright © 2023","A massive manufacturing hub for medicinal cannabis sleep capsules has been built in Victoria. June 29, 2022 — 8.54pm. Save.",8,26
https://www.watoday.com.au/national/mps-push-to-legalise-medicinal-cannabis-for-drivers-20230222-p5cms0.html,MPs push to legalise medicinal cannabis for drivers,"February 22, 2023 — 3.46pm","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. Replay Copyright © 2023","Feb 22, 2023 ... Medicinal cannabis advocates are fighting for users to have the right to drive with the medication in their system.",8,20
https://www.watoday.com.au/national/construction-to-begin-on-medicinal-cannabis-farm-in-queensland-20210617-p5820u.html,Construction to begin on medicinal cannabis farm in Queensland,"June 17, 2021 — 5.09pm","We’re sorry, this feature is currently unavailable. We’re working to restore it. Please try again later. This was published 1 year ago Replay Copyright © 2023","Jun 17, 2021 ... A 40-hectare medicinal cannabis facility due to be built in south-east Queensland will be the largest in the world.",9,26
