video_id,title,date,transcript
TRLbUVAfuaY,"Medicinal Cannabis in Australia Update, June 2022",2022-06-16T06:04:54Z,[Music] my name is robert stringer i'm a senior director of regulatory affairs at pharmalex my name's theresa nicoletti i'm a partner at mills oakley lawyers i'm the head of health and life sciences for the national practice i'm ian mcgregor i'm professor and academic director at the lambert initiative at the university of sydney brain and mind center ian touched on the attitudinal elements of the prescriber base there that not all prescribers in the in the gp land are convinced of the evidence and so it seems a bit more of a centralization of of prescribing that's probably also driven by clinics as well so because of the complexities associated with the sas program and supply a lot of clinics would be getting much more than their proportion of of representation within the gp area so i think that probably contributes to why the gps are a little significantly less involved than pharmacy yeah so some of the challenges there is that a lot of the work has been done uh focusing almost at um at the scientific level and the uh and the proof of concept level in the published work in these areas but it's not been thinking too hard historically on the regulatory space so how you actually build a regulator file what a regulatory quality study is required to to meet the regulator's requirements and so you have a disconnect between a lot of the publications and this and the evidence that's out there versus what would be required to have an approved product in australia or the us or europe it's interesting the the evidence gap that prescribing is galloping ahead for i think more than 130 indications that patients are currently being treated with medicinal cannabis products and we barely have adequate evidence for one condition if you hold it to modern pharma standards so that produces an interesting tension for prescribers who have great enthusiasm amongst patients for these products but their professional colleges might be much more skeptical and indeed even advise them not to prescribe unless it's part of a clinical trial in terms of conditions chronic pain is the is the big one more than 60 of current prescriptions are for chronic pain and we have the faculty of pain meds and telling their members not to prescribe municipal cannabis unless part of a clinical trial pain is complicated because there's so many different types of pain and then you've got more than 240 medicinal cannabis products currently available you've maybe got 100 different pain conditions how do you patch that all together i mean it's uh it's it's really quite bamboozling and difficult for people that are running clinical trials to know where to focus their efforts with so many products but there are some interesting ones going on there's a lot of observational data that's been gathered we're targeting particular types of pain spinal cord injury neuropathic pain is one large trial we're running at the moment we're also interested in epidermolysis bullosa which is a horribly debilitating skin condition that we're working on and also osteoarthritis which is incredibly common millions of sufferers worldwide and we're working on a cbd topical that we think is going to be highly effective for that in 2016 when uh the the narcotic drag drugs act was first changed to legalize cultivation production and manufacture of medicinal cannabis carried with it a very restrictive scheme where there was an overlay of federal and and state regulation for medicinal cannabis products and the reason for that is that there wasn't a lot of knowledge about the quality and safety of medicinal cannabis products in particular so regulators were reluctant to introduce a facilitative scheme for that reason but as we've gained more and more experience around it and and as we've become more comfortable with the types of products that are being supplied to the market um the scheme has relaxed to some extent so there's now only a federal layer of regulation for access and we've seen the numbers of prescriptions rise quite significantly since that happened from the point of view of how we regulate medicinal cannabis products there are only two products that are currently registered in the artg epidialex and satellites and both of those drugs are for quite restricted indications when we've got as ian said more than 130 different age indications that cannabis can be used for and so in the main the products are all unapproved therapeutic goods that are used for indications that are not on the register and they're being supplied under the unapproved access schemes which are the special access scheme and authorized prescriber scheme the cost of those products is high because they can't be subsidized and that's because the only products that are eligible for subsidy are those that are registered in the australian register of therapeutic goods and so it's a bit of a double-edged sword we want access to the products and we want it quickly and so we've introduced these unapproved access schemes but that means that they can't get subsidisation because they're not on the register so the only way we can address affordability at the moment is either to get those products registered in the aitg or otherwise have more competition in the market which allows supply and demand to equilibrate and prices to start to come down there's some trends for example in chronic pain it seems to be starting to stabilize a little bit whereas with mental health conditions particularly things like adhd ptsd and depression we're seeing exponential growth at the moment part of that might be a little bit more of a relaxed attitude amongst prescribers and so chronic pain we don't have much of an argument if you've got severe chronic pain that a trial of medicinal cannabis is not necessarily a bad thing but particularly when you look at the alternatives like opioids and gabapentinoids and the substantial liabilities that these existing prescription medications have so chronic pain was there from the ground floor if you like in terms of prescribing it was always the number one indication i don't think the market's saturated but i think if you're a patient that wants to travel medicinal cannabis it's fairly straightforward to organize that there's a lot more retina reticence amongst prescribers for prescribing for things like depression they've all been told at medical school that cannabis is anathema when it comes to mental health you know the cannabis causes schizophrenia and so on as prescribers learn the difference between thc and cbd and become aware of cbd's potential and mental health conditions i think we'll see a lot more prescribing that's perhaps part of the reason that we're seeing this exponential growth for mental health conditions although having said that a lot of the products being prescribed do contain thc but the gps generally have a view of medicinal cannabis they think it's relatively safe and certainly our recent survey shows that they consider medicinal cannabis to be much safer than things like opioids benzodiazepines antidepressants and antipsychotics interesting in the early days of medicinal cannabis availability it was nearly all oils and the trend we've seen particularly over the last year has been a large increase in the prescribing of flower products where they now represent about 40 percent of all prescriptions and there might be a couple of reasons for that one is that you get a much more rapid effect with with flower so that might be if you have chronic pain if you vaporize medicinal cannabis flower then you might get a very quick alleviation of that pain whereas it could take an hour or two hours for an oil to have an effect the bioavailability is much slower and we're hearing of people with anxiety who are vaporizing cbd flower to get an instantaneous relief of panic and situational anxiety so that's a reason but another thing that may well be happening is this um gravitation from the green market you know traditional illicit users of cannabis who overwhelmingly use flour into the prescribed market and they don't want to change their use of flour to oil because they've always used flour for self-medication with cannabis they just want a prescription product rather than an illicit product so that might be another driver i think when you look at medicinal cannabis there's a belief structure associated with it for one of a better word so there's there is scientific evidence and there is um there's medical evidence that has efficacy in various areas but i think patients have a belief that it will work as well that's that's my personal experience and so they approach it with a positive mindset and if you've had particularly in areas like treatment resistant conditions you're looking for something that that's new and it's it it seems to be coming from a different direction and to me i think patients find that attractive and i included in the slides of the comment that um natural equals good and i don't think it goes quite as far as that but but there is a belief that there is some some level there that they will get some benefit from that and and that drives a patient acceptance there and i think from the regulatory sense that that is building on that and these these changes that seem small to start with in the legislative area opened the doors to a whole new industry that didn't exist um by 2015 and so you can see that without having those changes you'll always have a roadblock in how the patients can can actually receive the product so that's would be comments i'd put for that for me the start of my journey was personal my i watched my father die in quite excruciating pain from metastatic cancer and this was prior to legalization so i i started to see the therapeutic potential of medicinal cannabis in a number of pro bono cases that i dealt with of patients who couldn't get access and were being treated with polypharmacy and not getting the outcomes that that they needed to have any quality of life and through through legal representation we managed to get those patients access and the transformation in their quality of life and their ability to manage not just the symptoms of their disease but in some cases to reduce the size of tumors and overall therapeutic benefit was quite obvious and that really cemented my willingness to get involved in this industry and to really drive regulatory reform to ensure we had as accessible a scheme as possible and we talked about clinical evidence getting robust clinical evidence but i don't think we should discount these individual cases we always talk about these cases as anecdotal evidence evidence but these are real examples of patients that have been treated with many other drugs beforehand and have been able to dispense with most of those drugs by taking medicinal cannabis and you can treat that like an n of one clinical study and harness that sort of information and so i'm convinced that there is therapeutic value we just have to work out which products um are the most suitable for particular indication and there's a lot of work still to be done but i in it for the long haul i think it will become a very entrenched medicine more and more in years to come yeah so at the beginning of the lambert initiative we were dealing with a family who had a a young child with a severe pediatric epilepsy that and they were treating her condition by illegally sourcing a product containing cbd and indeed the the the father of caitlin lambert michael lambert ended up in court on charges for possession and supply of of cannabis and we helped defend him and i've done like teresa i've done a number of pro bono cases as well defending people who are doing what any parent would do or any family member would do for a loved one in need and it just seemed really bizarre that the state and the country would prosecute people for doing what anyone would do if they if they were saved and had compassion and so thankfully we've moved on from that situation the very product that you know michael lambert was in court for is now available on the pbs in australia for that same condition that caleb lambert has so what a long way we've come in terms of supply the remaining i mean the big problem at the moment i think for patients there's two there's driving and there's cost so if you're on thc product there's no exemption for roadside drug testing and conviction for driving with thc and we're using our signs to show that it's perfectly rational to allow patients to drive on thc products so long as they don't feel impaired and that would just bring medicinal cannabis in line with opioids and benzodiazepines and other prescription medicines that have the capacity to to impair driving so we need that urgent change for for our patients the cost one a lot of people who are wanting to access medicinal cannabis have chronic illnesses and disabilities and there are people that often are finding it hard to make ends meet so we do need to get other medications that are more widely used for conditions mental health conditions and chronic pain onto the pbs that that's the big frontier at the moment in terms of improving accessibility and making sure that cannabis-based medicines can be distributed to those that need them and please thank the presenters again [Music] you
hs2cc_UZww4,Australian medicinal cannabis industry on cusp of major expansion | ABC News,2021-12-19T06:35:33Z,this is what legal cannabis looks like on an industrial scale with 40 staff and plans to hire 60 more this is big business this is a cannabis plant and it's one of 3 000 in this greenhouse overall we have another 10 000 plants growing outdoors as well so 13 000 at the moment today is harvest day in a greenhouse designed to grow the best cannabis flowers possible so every one of these plants is a clone and that is how we're controlling the consistency of the output for ceo dan howard the pungent smell and the sight of so much cannabis is normal has recently moved from canada where cannabis is legal so from the medical market evolved the adult use market and that has now proliferated across the country with thousands and thousands of stores and hundreds of producers producing government controlled taxed and high-quality cannabis across the country do you see what happened in canada also occurring here in australia i believe australia's on a similar path confidence in the future of the market has companies spending big millions of dollars in development means this company is about to upgrade from this greenhouse to this one to date most medicinal cannabis consumed in australia has been imported from overseas but industry says this is changing as patient access to product is streamlined and new regulation levels the playing field for domestic producers josie hamlet who manages compliance says these changes are a good start but the rules are complex and inconsistent there's been a lot of permit and license reforms which has definitely made our life easier here instead of having like three licenses and six permits with the they've all been rolled into one ultimately this complexity impacts people like peter fielding who was diagnosed with esophagus cancer two years ago he's been using medicinal cannabis and says the drug works wonders it doesn't save your life but it certainly helps to extend it i was given four months i'm now up to 23 months and about five days not that i'm counting mr fielding says getting it remains difficult and expensive even though it's legal now try finding somebody who can prescribe it legally try finding one it's still a problem a growing industry for a growing need david barnett clement abc news you
wK1L4ESJeIM,Medicinal cannabis access for consumers,2020-09-25T01:26:19Z,"So you’ve heard about medicinal cannabis. Maybe you’re wondering if it's right for your condition. Speak to your doctor about your health concerns. Your doctor will consider treatment options… and they may decide that a medicinal cannabis product is suitable for your needs. Most medicinal cannabis products are not approved medicines in Australia. This means the Therapeutic Goods Administration (or TGA) has not assessed them for safety, quality or effectiveness. But sometimes there are no approved medicines that meet a patient’s needs. That’s why any doctor can apply to the TGA for special access to unapproved medicines such as medicinal cannabis. They’ll hear back within two business days. Some doctors have applied to become Authorised Prescribers, which means they don’t need approval from the TGA for each individual patient. If your doctor gives you a prescription for a medicinal cannabis product, you will need to take it to a pharmacy. Medicinal cannabis products aren’t stocked in most pharmacies, so your pharmacist may need to order it in. You should also know that medicinal cannabis products are not subsidised through the Pharmaceutical Benefits Scheme; the supplier sets the cost. Beware of buying online. You could break the law and get an unsafe product. Legal access to medicinal cannabis means getting a prescription from your doctor and filling the prescription at your pharmacy. If you have any questions, speak with your doctor. You can also find out more on the TGA website."
TLLyfNnCQ7s,"Medicinal cannabis use rises with 260,000 prescriptions filled in six years | Today Show Australia",2022-07-19T03:27:42Z,welcome back well the use of medicinal cannabis has skyrocketed across the country with more and more aussies being prescribed the drug the latest figures from the tga show over 260 000 prescriptions have been issued for the drug in the past six years it's interesting isn't it for more we're joined by dr brad mckay in studio dr brad good morning to you what is behind this spike in prescriptions it was not really a spike what we're seeing is just an exponential rise in the the number of prescriptions so half of that 260 000 prescriptions have happened the last 12 months so we're we're not seeing any sign of it slowing down and they've just been increasing exponential interest in medicinal cannabis so what is it helping to treat why is it so effective yeah so we we know that there's evidence there's good evidence for it i'm treating some children with epilepsy so i'm treatment resistant epilepsy we know there's evidence for multiple sclerosis with spasticity and then there's growing evidence when it comes to like pain relief um so chronic pain is probably the majority of the prescriptions being being used um and also um chemotherapy induced nausea and vomiting so people having cancer and yeah like all and then there's yeah hundreds of different conditions that it is being prescribed for over over time wow and is it still quite difficult to access what what are the protocols or procedures yeah so there's very few doctors um that are prescribing it still it is growing and then why do why is there only a small number of doctors who will prescribe it um so a number of reasons one is that we really haven't had much education about it so there was nothing on it when i was going through medical school so we're only starting to get some of that information into students these days but also like it's really difficult uh to navigate the system so there's all sorts of protocols and hurdles and lots and lots of paperwork to get through to actually prescribe cannabis products for patients what about legalizing it i mean i just you know more and more countries are doing it now shouldn't that happen here and are you a writer on the whole marijuana do you think that would have a bad effect for the medicinal cannabis people out there i think we've sort of been driven into this fear and stigma about cannabis and as different companies are opening it up we're seeing that the sky isn't falling in um that uh yeah we're not not seeing major sort of addiction problems overseas um and yeah like allowing people to have more access to it um hasn't been seen to be a major problem in other countries is there a side effect though if you are taking medicinal cannabis and you're worried about it for whatever reason you're taking it for whether it's pain or whatever that there might be side effects uh like there can be some side effects but what what we sort of find with patients is that they've often come to the end of the road so they've tried all sorts of different products so say you've got chronic pain this is one of the next things that we can use for patients if it works for them they it can be life-changing and it can like get them back to work it can have major ramifications and if it doesn't work then they just stop it and they look at something else that they could use so it's a little little impact so what would be your advice to someone who thinks that medicinal cannabis may be able to help their ailment yeah so um certainly uh we would normally say to speak to your gp is a bit hesitant well and this is the problem so there are many gps who just don't want a bar of it um it's sort of like a don't ask hotel situation there's still a stigma in the medical profession there are some online clinics as well that you can go online and have a chat with somebody even from a phone call or a video call but yeah also finding a gp in your area who does prescribe medicinal cannabis is a good option as well and have those sort of like frank one-to-one discussions about it all right dr brad great to have you inside thanks mate thank you dr brad you
pBBECjNuRw0,Medical cannabis set to become financially accessible  | 7NEWS,2021-11-27T09:02:29Z,
d9v8dkkCJVQ,My experience accessing medical cannabis in Australia,2022-06-06T06:23:54Z,so i recently decided to access medical cannabis products through the legal medical pathway and i just wanted to share a little bit more about my journey and how it's been so i had my first appointment with the doctor and i just thought i'd go through what it was like what happened and what products i got prescribed so it was a telehealth appointment and it went for about 15 minutes all up i think it was scheduled to go for about 30 minutes but it didn't end up taking that full amount of time to go through everything with the doctor so he started the appointment by asking what symptoms i was hoping to treat with cannabis and he just wanted a background on the issues i'd been experiencing and just how they were impacting me day to day so i did explain to the doctor i was there mostly for pain issues some related to a long-term lower back injury but also some new symptoms i was experiencing in my upper back as well in addition to that my sleep had been really interrupted and disturbed and i was noticing that it was having a really big impact on my overall my mood energy my motivation and just my ability to deal with day-to-day tasks effectively so the doctor also wanted to know about what other treatments i'd tried in the past to manage these symptoms and he also wanted to know about the medications i'd tried as well and obviously he wanted to know about any current medications i was taking just to assess for potential drug interactions between medical cannabis and pharmaceuticals which is obviously super important he also wanted to know if i had tried cannabis or cbd before and i decided honesty was the best policy in this instance and i did tell him that i had tried a full spectrum cbd oil in the usa and that i really had amazing results from this product um so he was super supportive of this actually and he said it's great that i've tried some black market products because now he has that baseline knowledge that previously cannabis has had a positive effect on me um he just he went on to explain that the benefit of seeing a doctor is that they can essentially tailor products to try and achieve a better outcome probably better than what i could get by myself going through the green or the black market so the other benefit is that they can monitor your progress and results and they can change products if they need to so he did go on to explain that there are a lot of different medical cannabis products available in australia at the moment some are australian and some are also from overseas manufacturers he made a few recommendations on products he would prescribe for my specific conditions and i ended up getting a full spectrum cbd oil for the daytime and a thc and cbd blend for the night time so i was quite specific with the doctor that i wanted a high quality organically grown product from australia he wasn't able to tell me whether the products were organically grown just that they were manufactured in accordance with the good manufacturing practices um overall the appointment was a positive experience the doctor was super supportive of my journey with cannabis but i did find there was overall a lack of knowledge sharing between doctor and patient i think if i was a complete newbie to cannabis i would have been a bit confused after the consult particularly in terms of how the products might make me feel and this is specific to thc uh because it does have the potential to make me feel high or impair me so i think there is a little bit of a gap in terms of the knowledge that patients are leaving appointments with um he also wasn't to give me wasn't able to give me a huge amount of information about the products either and i did end up calling the manufacturer to try and get answers to my questions so the appointment did wrap up pretty quickly um as i mentioned it went for about 15 minutes the doctor then emailed through the e-scripts so i could have them filled in that email he also included a titration dosage guide to follow so that made it really easy for me to understand how much of the both products i should start out with and how much to increase by at what time intervals the doctor also made some recommendations for pharmacies as well um i did end up going to my local pharmacy and they did quote me 30 less than the other recommended pharmacies so it can actually be worthwhile shopping around for quotes when it comes to filling medical cannabis scripts there is potential to save a few dollars by doing that so in the next video i'm going to talk more about the products that i received what i think of them and how they're working for me so i'm just going to talk a little bit about the products i got prescribed and how they're affecting me the benefits i'm getting from them if they're working for me and just talk a little bit more about each product in detail okay so these are the three products that i have been prescribed by the doctor so i have two oil products and i also have a cbd flower product so the first one is the little green pharma cbd50 so this is a 50 milligram per mil full spectrum cbd oil and it does contain up to .2 milligrams of thc per mil as well the next product is the lgp classic 20 to 5. so the the 20 to 5 actually refers to the ratio of thc to cbd and because this is a thc dominant product it has 20 milligrams of thc per ml and 5 milligrams of cbd per ml and the third product is actually a cbd dried flower from antg so i'll just talk about each of these products in depth a little bit more now so the first product i'm going to talk about is the little green pharma full spectrum cbd oil that i was prescribed so it is the cbd 50 so it contains 50 milligrams of cbd per ml and it contains up to 0.2 milligrams of thc per ml so i have titrated my dosage from a starting point of 0.25 mils all the way up to one mil and i've found that has been the most beneficial dosage for me personally i have experimented and gone up to 1.5 into two mils and while i haven't felt impaired from the thc it definitely had more of a sedative effect the higher the dosage i had so with this particular product it was prescribed as a daytime product basically because it wasn't meant to have any impairment or sedate me in fact the doctor said potentially it could even have the opposite effect to that so it could be energizing for the daytime while also simultaneously helping control pain symptoms so just a little bit about how this smells and tastes i will show you every time you get a medical cannabis product prescribed you get a little syringe and it has very small dosages starting at point one mil all the way up to one mil so you can be really precise uh when you're titrating your dosages up or down so as you can see this oil is very very clear it um has very little flavor or smell to be honest it's um in terms of the terpenes it's super mild it actually has quite a creamy nutty flavor um because of that it is an easy oil to take there's no overwhelming flavor to it or scent it's very smooth i guess is a good word to describe taking it in terms of the effects i haven't noticed a massive impact on my pain levels but we do know that some people need more thc in order to bring down the inflammation and the pain more effectively so it also hasn't helped me with sleep but it was prescribed as a daytime product as well the thing that it has helped me the most with is bringing down stress levels and managing okay so the next product i'm going to talk about is the little green pharma lgb classic 20 to 5 so as i mentioned 20 to 5 refers to the ratio of thc to cbd this is a high thc product and was prescribed as a nighttime product because it obviously has the ability to impair me and also sedate me and it was prescribed to help manage my sleep issues and also just to help with those chronic pain symptoms that i have been experiencing so in terms of this oil it is um quite a bit darker than the full spectrum cbd oil and to me it has more of a piney minty kind of smell to it and also flavor as well it actually smells really beautiful the terpenes in it are really nice and the flavor is really nice as well so for me this particular oil was very strong i obviously have a very low tolerance to thc so i started with an initial dosage of 0.25 mils which i took just before bed this seemed to be okay in terms of impairment but as i titrated up to about half a mil which is 10 milligrams of thc i definitely struggled a bit i um i was i felt too impaired to actually go to sleep um and it wasn't a nice feeling for me and what i have noticed with this product as well is that the following days after taking it i have had a bit of a headache and with the higher dosages that headache was worse and i've just felt quite groggy afterwards as well now if i compared this to a green market thc oil that a friend gave me i take two drops of that and i wake up actually feeling quite amazing the following day so i'll feel super energized really positive and my pain levels have gone way down obviously the problem is i don't know the strength of that oil so it is difficult to try and ascertain as to how much you're taking and whether you should keep increasing and also obviously how it's made as well um comes into question so unfortunately that particular um 20-5 product did not work for me personally but we do know that cannabis strains affect every single person differently so what works for me might not work for you and vice versa and i have read quite a few reviews on this particular product as well and there was one person who mentioned that they had similar symptoms to me where they had a bit of a headache the next day and just felt a bit hungover or groggy the following day however there are also a lot of really positive reviews for people who have been using it for pain symptoms and anxiety as well and have had really good results so the final product that i'm going to talk about is the antg cbd flower so this is obviously quite a different product to the previous oils that i've spoken about this is a cbd bud high cbd bud it does contain um thc still but the benefit of this is there's such a high dosage of cbd that it does counteract the effects that thc can have so this is one of the buds uh that came in with this product it is uh it contains 10 grams of dried flour so when i first got this i was really amazed by the scent of this it actually reminds me a lot of lemon sherbet it's got a very strong lemonade terpene smell to it and that definitely follows through when you vape it in a dry herb vape as well so for me this product has been really great for um going to sleep at night time and reducing pain so it contains um 140 milligrams of cbd per gram of flour and 10 milligrams of thc per gram of flour so the doctor did advise me to start by vaping 0.25 grams of dried flour and then titrate up from there so the doctor also advised to avoid smoking this and to use a dry herb vape for health reasons it's much safer in terms of having vapor instead of the combustion that occurs when you smoke so this product has been really beneficial for me um i do take it overnight time because it does well it doesn't make me feel super groggy or like i just can't keep my eyes open it does definitely help with relaxation before bed and i have noticed that my sleep has been really solid if i had this just before bed as well so i am finding these two products this for day and this for night to be really beneficial overall for relaxation reducing pain and for sleep which is the main things that i wanted to treat with medical cannabis
i5vS30AFLE4,Inside the burgeoning black market for medicinal marijuana | 7.30,2020-02-19T00:30:03Z,after I graduated high school obviously with my condition I wasn't sure whether I was ever going to be able to work kind of a standard normal jobs for much of his life Brent our Curie has relied on medication to manage his painful bowel condition called Crohn's disease it affects the lower half of my small intestine and what it does is it causes a lot of information and causes it to deteriorate over time every day I wake up I have some sort of pain purely due from eating food it can cause me to be very fatigued but nothing seemed to give the twenty-year-old from the Gold Coast the relief he needed until he tried cannabis oil all it is is just you put two jobs underneath your tongue and you let it sit there for about ten to fifteen seconds and then you usually just once to twice a day depending on how I'm going yeah and there's no psychoactive effects the way I can feel the effects is when I feel like medicinal cannabis was first legalized across the country in 2016 with the approval of the Therapeutic Goods Administration GPS can prescribe cannabis oil to their patients but even though brent has been through that process he simply can't afford to fill the prescription I was very lucky I have a specialist he wrote in a really good letter of recommendation and I was able to get accepted for this medicine but it's only after you get accepted they tell you all the associated costs Brent was paying about $600 a month for cannabis oil prescribed by his GP a cost he says was beyond his means instead he's turned to a surging online black-market for the medicine where he's now paying a quarter of that price it does cause me a lot of anxiety honestly it does because I do think there is still a large stigma based around it at this point and it does make me fear a bit because I could get pulled over at any time and drug tested so that fear is always in the back of my head when I'm driving around yes [Music] but the licensed cannabis industry warns there's no guarantee of purity or safety with black-market products in comparison to growing in a backyard we have complete control over the environment we test every part of the way to make sure there's no contaminants bacteria or mold that's building up in the plant at a secret facility south of Perth a pharmaceutical company farms cannabis to make legal medicinal oil it's one of the first of its kind in Australia after being granted a licence by the federal Health Department we're currently expanding our facility so we'll be able to produce 10 times more bottles than what we're producing now to be able to look after not only the Australian mark demand but also the international markets fleeter solomon acknowledges her company's product is more expensive during part to higher production costs to meet strict regulations we know what price we give to the wholesaler but we don't have any say over what the retailers put so we don't know exactly what the patients are playing at the end but in law here in Australia if I said well let's let's treated as a medical product cuz then it can be made to high quality so yes it adds some cost but it also means that it's quality product given under medical supervision there is currently no subsidy for cannabis products under the pharmaceutical Benefits Scheme the TGA expects this may change but not for some time the situation that we're working towards is for the clinical trial to be done and for companies to put submissions to us but those trials take a couple of years and then they have to get the results and then submit them as they do for any other medicine meanwhile a Senate inquiry is now looking into problems with access and regulation of the industry as a whole I think there's a lot of ways the system could be improved for a lot of Australians it is just simply unaffordable to have costs like that associated with medicine excited for tomorrow yeah in the Melbourne suburb of croy day Emma brown lives with chronic pain after a car accident in 2015 three days later I woke up in hospital and I had a brace on and couldn't move and it's really bad and I just wanted to see my kids in accident the accident left the 35 year old with permanent damage to her spine and unable to work I changed my life in so many different ways and not just the physical obviously it hurts it hurts a lot every day I was less sociable I just sort of found myself not wanting to go in through things because it hurt to do it like Brent our Curie emma was prescribed other pain medications but nothing worked until she tried cannabis she was granted legal access to cannabis oil by a doctor but was simply unable to afford the prescription to look at the price of being on the cannabis oil with your prescription it was approximately five hundred and twenty dollars a month that we have cost me for the product would've ended up costing me over a third of my income approximately my pension to go on this dedication and then black market you're looking at approximately $120 for a 30ml bottle over thousand milligrams or so I yeah to me it's a no-brainer right now I'm not on I currently smoke of an evening just to sort of band-aid the detention in my back I'm not you know I'm not advocating everyone getting stoned being left with no other option but to go black market it does make me feel bad I definitely feel judged both Mr Brown and Brent are Kure hope the Senate inquiry will prompt desperately needed change it's set up so we fail like here it is but you can omit there is no way I can afford that product so where am I left in pain I just don't understand what I would hope is is that it shifts a bit more of the conversation around to this time issue because there's an issue that affects a lot of Australians and it is something that could potentially help millions of more Australians they're just not even aware of it at this point hi I'm Leigh sales thanks for watching this story if you'd like to watch more of 730 stories they are on the left of your screen and tap on the button below to subscribe and get the latest from ABC news
v5U0eNitZb4,#Exclusive: Australian Medicinal Cannabis Production Set To Soar | 10 News First,2022-12-19T08:14:37Z,
jJIFoMC4HvY,How I got a medicinal cannabis prescription in Australia - Lachlan Lincoln #TheLincolnFamily,2022-06-12T08:00:11Z,
G1yY75U0W7I,Greens plan to legalise cannabis could inject billions into the economy | 9 News Australia,2023-01-30T22:33:33Z,
