web-scraper-order,web-scraper-start-url,headline,headline-href,datetime,body
"1681220730-38","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","A NSW mother who started planning her suicide because she suffered agonising pain after an operation to remove a cancerous tumour has had her life transformed by cannabis oil."
"1681220730-39","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","Helen has chosen to break her silence as users of medicinal cannabis across Australia have begun to mobilise and criticise the government over access to the medicine."
"1681220730-40","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","Despite the government legalising medicinal cannabis in November last year, campaigners claim sick patients, many terminal, are faced with unnecessary barriers to obtain cannabis products that they need."
"1681220730-41","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","Cancer survivor Helen (not her real name), a mother of four from regional NSW, is one of those patients affected."
"1681220730-42","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","Helen has spoken to"
"1681220730-43","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","""Desperate people do desperate things,"" Helen said."
"1681220730-44","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","Following two kidney cancer operations and a period on life support, Helen was prescribed a ""toxic cocktail of opiates"" by doctors to deal with a legacy of excruciating pain in her abdomen."
"1681220730-45","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","The heavy duty pain killers were effective, but they turned Helen, a business-owner with operations in three different Australian cities, into a lethargic zombie."
"1681220730-46","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","""Eating, sleeping and showering was the extent of my capabilities,"" Helen said."
"1681220730-47","https://www.9news.com.au/medicinal-cannabis","Sick NSW mum must hide in the shadows to get 'cloak and dagger' medicinal cannabis","https://www.9news.com.au/national/medicinal-cannabis-sick-nsw-mum-must-hide-in-the-shadows-to-get-cloak-and-dagger-oil/1cc24837-5bd8-48fe-9b75-321afa6fb126","10:13am Jan 31, 2017","Inevitably, her marriage and family life suffered, as did her businesses and the household finances. Helen's voice cracks with emotion as she described being largely absent from her eldest daughter's Year 12 studies."
